"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","Juvenil","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","1:14.078","9","","11:50.610"
"2","626","Juan Antonio PIEDRAHITA VARELA","13","Juvenil","GasGas","Risaralda","CLUB LOS GUEPARDOS","21.167","1:17.219","9","","12:11.777"
"3","113","Tomas VERGARA ARANZAZU","11","Juvenil","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","27.499","1:16.967","9","","12:18.109"
"4","420","Esteban ARCILA ACEVEDO","10","Juvenil","GasGas","Risaralda","CLUB LOS GUEPARDOS","35.625","1:17.286","9","","12:26.235"
"5","710","Juan David MENDOZA DUARTE","9","Juvenil","Yamaha","Meta","VILLAVICENCIO RACING CLUB","40.868","1:17.938","9","","12:31.478"
"6","139","Valentino ZULETA CARDONA","8","Juvenil","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","41.246","1:15.970","9","","12:31.856"
"7","120","Matias GOMEZ ORJUELA","7","Juvenil","KTM","Bogotá D.C.","Todo terreno track","56.435","1:21.261","9","","12:47.045"
"8","130","Santiago GUTIERREZ CASTILLO","6","Juvenil","GasGas","Bogotá D.C.","Todo terreno track","56.573","1:19.770","9","","12:47.183"
"9","630","Samuel Andres PINTO DUARTE","5","Juvenil","Yamaha","Meta","VILLAVICENCIO RACING CLUB","57.850","1:20.223","9","","12:48.460"
"10","413","Samuel Emilio CAMACHO PAEZ","4","Juvenil","GasGas","Bogotá D.C.","Xspeed Racing","59.980","1:21.199","9","","12:50.590"
"11","715","Joan esteban Valdez Osorio","3","Juvenil","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","1:02.079","1:20.228","9","","12:52.689"
"12","121","Martin LONDOÑO VARGAS","2","Juvenil","Husqvarna","Bogotá D.C.","Xspeed Racing","1:03.549","1:19.808","9","","12:54.159"
"13","24","Esteban CARDENAS RUIZ","1","Juvenil","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","1:19.298","1:22.609","9","","13:09.908"
"NT","815","kevin GONZALEZ PIEDRAHITA","0","Juvenil","Husqvarna","Quindío","CLUB DISCOVER QUINDIO","NT","1:21.783","5","","7:25.745"
"NT","912","Laura Camila Bernal Cano","0","Juvenil","Husqvarna","Quindío","CLUB DISCOVER QUINDIO","NT","","","",""
