"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","114","Miguel Angel LOPEZ MARTINEZ","3","Juvenil","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","1:13.702","8","","10:31.002"
"2","626","Juan Antonio PIEDRAHITA VARELA","2","Juvenil","GasGas","Risaralda","CLUB LOS GUEPARDOS","24.890","1:17.407","8","","10:55.892"
"3","139","Valentino ZULETA CARDONA","1","JUVENIL","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","25.188","1:16.459","8","","10:56.190"
"4","113","Tomas VERGARA ARANZAZU","1","Juvenil","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","34.642","1:17.792","8","","11:05.644"
"5","120","Matias GOMEZ ORJUELA","1","Juvenil","KTM","Bogotá D.C.","Todo terreno track","34.782","1:18.766","8","","11:05.784"
"6","420","Esteban ARCILA ACEVEDO","1","Juvenil","GasGas","Risaralda","CLUB LOS GUEPARDOS","35.218","1:16.582","8","","11:06.220"
"7","710","Juan David MENDOZA DUARTE","1","Juvenil","Yamaha","Meta","VILLAVICENCIO RACING CLUB","44.573","1:20.464","8","","11:15.575"
"8","715","Joan esteban Valdez Osorio","1","Juvenil","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","46.694","1:20.306","8","","11:17.696"
"9","630","Samuel Andres PINTO DUARTE","1","Juvenil","Yamaha","Meta","VILLAVICENCIO RACING CLUB","48.700","1:19.658","8","","11:19.702"
"10","130","Santiago GUTIERREZ CASTILLO","1","Juvenil","GasGas","Bogotá D.C.","Todo terreno track","53.031","1:19.145","8","","11:24.033"
"11","413","Samuel Emilio CAMACHO PAEZ","1","Juvenil","GasGas","Bogotá D.C.","Xspeed Racing","56.630","1:19.999","8","","11:27.632"
"12","121","Martin LONDOÑO VARGAS","1","Juvenil","Husqvarna","Bogotá D.C.","Xspeed Racing","56.984","1:19.897","8","","11:27.986"
"13","815","kevin GONZALEZ PIEDRAHITA","1","Juvenil","Husqvarna","Quindío","CLUB DISCOVER QUINDIO","1:14.882","1:22.471","8","","11:45.884"
"14","24","Esteban CARDENAS RUIZ","1","Juvenil","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","1:20.873","1:23.751","8","","11:51.875"
"NT","912","Laura Camila Bernal Cano","0","Juvenil","Husqvarna","Quindío","CLUB DISCOVER QUINDIO","NT","1:31.468","5","","8:08.840"
