"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","Q ","R2. ","R3. "
"1","114","Miguel Angel LOPEZ MARTINEZ","Juvenil","33","0","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","3","15","15"
"2","420","Esteban ARCILA ACEVEDO","Juvenil","24","9","Risaralda","CLUB LOS GUEPARDOS","GasGas","1","10","13"
"3","113","Tomas VERGARA ARANZAZU","Juvenil","23","10","Antioquia","CLUB MOTOCROSS DE YARUMAL","Yamaha","1","11","11"
"4","626","Juan Antonio PIEDRAHITA VARELA","Juvenil","23","10","Risaralda","CLUB LOS GUEPARDOS","GasGas","2","13","8"
"5","139","Valentino ZULETA CARDONA","Juvenil","19","14","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","KTM","1","8","10"
"6","710","Juan David MENDOZA DUARTE","Juvenil","19","14","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1","9","9"
"7","130","Santiago GUTIERREZ CASTILLO","Juvenil","14","19","Bogotá D.C.","Todo terreno track","GasGas","1","6","7"
"8","120","Matias GOMEZ ORJUELA","Juvenil","13","20","Bogotá D.C.","Todo terreno track","KTM","1","7","5"
"9","413","Samuel Emilio CAMACHO PAEZ","Juvenil","11","22","Bogotá D.C.","Xspeed Racing","GasGas","1","4","6"
"10","630","Samuel Andres PINTO DUARTE","Juvenil","9","24","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1","5","3"
"11","715","Joan esteban Valdez Osorio","Juvenil","8","25","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","1","3","4"
"12","24","Esteban CARDENAS RUIZ","Juvenil","4","29","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","1","1","2"
"13","121","Martin LONDOÑO VARGAS","Juvenil","3","30","Bogotá D.C.","Xspeed Racing","Husqvarna","1","2","0"
"14","815","kevin GONZALEZ PIEDRAHITA","Juvenil","1","32","Quindío","CLUB DISCOVER QUINDIO","Husqvarna","1","0","0"
"NT","912","Laura Camila Bernal Cano","Juvenil","0","33","Quindío","CLUB DISCOVER QUINDIO","Husqvarna","0","0","0"
