"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","125 cc","1:18.089","2","","","15","17:20.936",""
"2","318","Samuel ARDILA","125 cc","1:21.981","1","1:04.630","1:04.630","13","18:25.566",""
"3","199","Nicolas Felipe REY REY","125 cc","1:25.188","3","1 Vuelta","1 Vuelta","11","17:57.795",""
"4","630","Samuel Andres PINTO DUARTE","125 cc","1:30.089","1","1 Vuelta","29.235","10","18:27.030",""
"5","722","Alan HERNANDEZ RABE","125 cc","1:26.780","3","1 Vuelta","22.734","9","18:49.764",""
"6","612","Alejandro DIAZ GARCIA","125 cc","1:36.404","1","1 Vuelta","11.283","8","19:01.047",""
"7","130","Santiago GUTIERREZ CASTILLO","125 cc","1:29.590","2","2 Vueltas","1 Vuelta","7","18:42.739",""
"8","411","Juan Sebastian GIRON CARVAJAL","125 cc","1:25.194","1","2 Vueltas","3.027","6","18:45.766",""
"9","926","Santiago LEON","125 cc","1:39.981","4","3 Vueltas","1 Vuelta","5","20:54.947",""
"10","715","Joan esteban Valdez Osorio","125 cc","1:33.886","1","4 Vueltas","1 Vuelta","4","17:51.948",""
"11","269","Jhon santiago HERNANDEZ BERMUDEZ","125 cc","1:37.697","1","4 Vueltas","19.772","3","18:11.720",""
"","244","Alejandro ANGEL ISAZA","125 cc","1:27.963","1","6 Vueltas","2 Vueltas","0","18:32.085",""
"NT","710","Juan David MENDOZA DUARTE","125 cc","1:26.869","2","NT","","0","22:41.488",""
