"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","R1. ","R2. ","R3. "
"1","114","Miguel Angel LOPEZ MARTINEZ","125 cc","31","0","GasGas","Quindío","CLUB RUTEROS DEL QUINDIO","","1","15","15"
"2","318","Samuel ARDILA","125 cc","26","5","GasGas","Antioquia","CLUB GRILLOS RACING","","2","13","11"
"3","199","Nicolas Felipe REY REY","125 cc","25","6","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","","1","11","13"
"4","722","Alan HERNANDEZ RABE","125 cc","21","10","Husqvarna","Valle del Cauca","Carasucias","","3","9","9"
"5","411","Juan Sebastian GIRON CARVAJAL","125 cc","17","14","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","","1","6","10"
"6","630","Samuel Andres PINTO DUARTE","125 cc","17","14","Yamaha","Meta","VILLAVICENCIO RACING CLUB","","1","10","6"
"7","926","Santiago LEON","125 cc","14","17","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","","1","5","8"
"8","612","Alejandro DIAZ GARCIA","125 cc","12","19","Yamaha","Valle del Cauca","Carasucias","","1","8","3"
"9","130","Santiago GUTIERREZ CASTILLO","125 cc","10","21","GasGas","Bogotá D.C.","Todo terreno track","","1","7","2"
"10","715","Joan esteban Valdez Osorio","125 cc","9","22","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","","1","4","4"
"11","244","Alejandro ANGEL ISAZA","125 cc","8","23","Yamaha","Valle del Cauca","Carasucias","","1","0","7"
"12","710","Juan David MENDOZA DUARTE","125 cc","6","25","Yamaha","Meta","VILLAVICENCIO RACING CLUB","","1","0","5"
"13","269","Jhon santiago HERNANDEZ BERMUDEZ","125 cc","4","27","Yamaha","Valle del Cauca","Carasucias","","1","3","0"
