"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","722","Alan HERNANDEZ RABE","125 cc","1:13.106","2","","","3","10:29.094",""
"2","318","Samuel ARDILA","125 cc","1:12.314","5","1.479","1.479","2","10:30.573",""
"3","411","Juan Sebastian GIRON CARVAJAL","125 cc","1:13.004","5","4.897","3.418","1","10:33.991",""
"4","199","Nicolas Felipe REY REY","125 cc","1:11.673","1","12.175","7.278","1","10:41.269",""
"5","715","Joan esteban Valdez Osorio","125 cc","1:14.663","3","15.317","3.142","1","10:44.411",""
"6","130","Santiago GUTIERREZ CASTILLO","125 cc","1:12.545","4","17.303","1.986","1","10:46.397",""
"7","710","Juan David MENDOZA DUARTE","125 cc","1:11.991","1","23.393","6.090","1","10:52.487",""
"8","630","Samuel Andres PINTO DUARTE","125 cc","1:13.551","7","25.720","2.327","1","10:54.814",""
"9","612","Alejandro DIAZ GARCIA","125 cc","1:16.084","7","41.184","15.464","1","11:10.278",""
"10","114","Miguel Angel LOPEZ MARTINEZ","125 cc","1:06.234","7","41.185","0.001","1","11:10.279",""
"11","926","Santiago LEON","125 cc","1:12.968","7","41.186","0.001","1","11:10.280",""
"12","269","Jhon santiago HERNANDEZ BERMUDEZ","125 cc","1:06.286","7","57.011","15.825","1","11:26.105",""
"13","244","Alejandro ANGEL ISAZA","125 cc","1:13.574","1","1 Vuelta","1 Vuelta","1","10:16.240",""
