"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","R1. ","R2. ","R3. "
"1","141","Isabela VILLEGAS BRAND","Femenina","33","0","Yamaha","Valle del Cauca","Team Potenza","","3","15","15"
"2","20","Salome HERNANDEZ AGUILAR","Femenina","24","9","Husqvarna","Caldas","CLUB DE MOTOCICLISMO LA DORADA","","1","10","13"
"3","516","Laura Sofia BALCAZAR","Femenina","20","13","Yamaha","Meta","VILLAVICENCIO RACING CLUB","","1","8","11"
"4","19","Sandra Yamileth SALAZAR","Femenina","20","13","Husqvarna","Valle del Cauca","Carasucias","","1","9","10"
"5","116","Ivanna ZULETA HOYOS","Femenina","16","17","Husqvarna","Antioquia","CLUB MOTOCROSS DE YARUMAL","","2","13","1"
"6","419","Karen Luciana PRIETO AGUILAR","Femenina","12","21","Yamaha","Tolima","TROCHEROS EN 2 RUEDAS","","1","11","0"
"7","912","Laura Camila Bernal Cano","Femenina","8","25","Husqvarna","Quindío","CLUB DISCOVER QUINDIO","","1","7","0"
"8","O-506","Salome Giraldo Ramos","Femenina","7","26","","Valle","","","1","6","0"
"9","O-422","Nikol Obando","Femenina","6","27","","Valle","","","1","5","0"
"10","28","Sofia ESCOBAR HINCAPIE","Femenina","5","28","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","","1","4","0"
"11","O-931","Valery Sarria","Femenina","1","32","","Valle","","","1","0","0"
"12","212","Salome MENDEZ SAMBONI","Femenina","1","32","GasGas","Cauca","CLUB CORONA CLUB XTREME PARK","","1","0","0"
