"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","139","Valentino ZULETA CARDONA","Infantil","1:36.674","2","","","15","14:02.922",""
"2","35","Juan Angel MORALES GALLEGO","Infantil","1:43.741","2","1:23.241","1:23.241","13","15:26.163",""
"3","121","Martin LONDOÑO VARGAS","Infantil","1:46.090","3","1:47.940","24.699","11","15:50.862",""
"4","888","Maximiliano YEPES ZAMORANO","Infantil","1:47.561","2","1 Vuelta","1 Vuelta","10","14:59.606",""
"5","729","Martin RODRIGUEZ ARANGO","Infantil","1:53.376","2","2 Vueltas","1 Vuelta","9","14:09.241",""
"6","629","Jaivert Israel GUZMAN MENDEZ","Infantil","2:06.553","2","2 Vueltas","19.027","8","14:28.268",""
"7","717","Mariana ARISMEDI TRUJILLO","Infantil","2:00.033","2","2 Vueltas","1:01.040","7","15:29.308",""
"8","O-330","","Infantil","2:20.340","2","3 Vueltas","1 Vuelta","6","14:46.110",""
"9","O-566","","Infantil","2:59.370","2","3 Vueltas","1:37.668","5","16:23.778",""
"10","718","Emiliano IDROBO SERNA","Infantil","2:34.340","5","3 Vueltas","4.327","4","16:28.105",""
"11","105","Jhonathan Felipe ARENAS PORRAS","Infantil","2:00.950","3","4 Vueltas","1 Vuelta","3","18:06.274",""
"","801","Samuel MAYA SANCHEZ","Infantil","13:54.342","2","6 Vueltas","2 Vueltas","0","16:44.013",""
"","28","Sofia ESCOBAR HINCAPIE","Infantil","7:55.222","2","6 Vueltas","2:54.589","0","19:38.602",""
"NT","215","Sebastian LOPEZ CORTES","Infantil","2:14.463","2","NT","","0","4:53.893",""
"NT","272","Maximiliano TEJADA GONZALEZ","Infantil","5:00.918","2","NT","","0","8:42.690",""
"NT","49","Ivvana Rugeles Avendaño","Infantil","3:51.676","2","NT","","0","10:05.892",""
"NT","212","Salome MENDEZ SAMBONI","Infantil","","0","NT","","0","2:59.997",""
"NT","106","MICHAEL GIOVANNY ARENAS PORRAS","Infantil","","0","NT","","0","13:11.029",""
"NT","O-28","Critopher Antonio Lainez","Infantil","","0","NT","","0","",""
"NT","O-110","","Infantil","","0","NT","","0","",""
