"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","121","Martin LONDOÑO VARGAS","Infantil","1:14.937","1","","","3","10:31.506",""
"2","139","Valentino ZULETA CARDONA","Infantil","1:14.951","2","7.730","7.730","2","10:39.236",""
"3","35","Juan Angel MORALES GALLEGO","Infantil","1:15.585","1","18.643","10.913","1","10:50.149",""
"4","888","Maximiliano YEPES ZAMORANO","Infantil","1:17.374","1","20.907","2.264","1","10:52.413",""
"5","629","Jaivert Israel GUZMAN MENDEZ","Infantil","1:20.453","7","50.690","29.783","1","11:22.196",""
"6","105","Jhonathan Felipe ARENAS PORRAS","Infantil","1:18.987","7","51.620","0.930","1","11:23.126",""
"7","801","Samuel MAYA SANCHEZ","Infantil","1:19.372","7","57.537","5.917","1","11:29.043",""
"8","718","Emiliano IDROBO SERNA","Infantil","1:18.837","3","1:06.294","8.757","1","11:37.800",""
"9","717","Mariana ARISMEDI TRUJILLO","Infantil","1:15.698","3","1:23.108","16.814","1","11:54.614",""
"10","O-28","Critopher Antonio Lainez","Infantil","1:23.657","3","1:40.210","17.102","1","12:11.716",""
"11","215","Sebastian LOPEZ CORTES","Infantil","1:21.822","6","1 Vuelta","1 Vuelta","1","10:59.137",""
"12","49","Ivvana Rugeles Avendaño","Infantil","1:28.010","2","1 Vuelta","14.756","1","11:13.893",""
"13","272","Maximiliano TEJADA GONZALEZ","Infantil","1:25.163","2","1 Vuelta","3.986","1","11:17.879",""
"14","729","Martin RODRIGUEZ ARANGO","Infantil","1:28.802","1","1 Vuelta","18.729","1","11:36.608",""
"15","28","Sofia ESCOBAR HINCAPIE","Infantil","1:33.720","3","1 Vuelta","14.849","1","11:51.457",""
"16","O-566","","Infantil","1:36.581","4","2 Vueltas","1 Vuelta","0","10:41.449",""
"17","212","Salome MENDEZ SAMBONI","Infantil","1:24.702","2","2 Vueltas","56.352","0","11:37.801",""
"18","106","MICHAEL GIOVANNY ARENAS PORRAS","Infantil","1:38.419","2","2 Vueltas","43.976","0","12:21.777",""
"19","O-330","","Infantil","1:28.319","1","2 Vueltas","27.866","0","12:49.643",""
"20","O-110","","Infantil","1:38.882","1","4 Vueltas","2 Vueltas","0","7:34.569",""
