"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","R1. ","R2. ","R3. "
"1","139","Valentino ZULETA CARDONA","Infantil","32","0","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","2","15","15"
"2","121","Martin LONDOÑO VARGAS","Infantil","25","7","Cobra","Bogotá D.C.","Xspeed Racing","","3","11","11"
"3","888","Maximiliano YEPES ZAMORANO","Infantil","24","8","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","10","13"
"4","35","Juan Angel MORALES GALLEGO","Infantil","23","9","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","13","9"
"5","718","Emiliano IDROBO SERNA","Infantil","15","17","KTM","Risaralda","CLUB LOS GUEPARDOS","","1","4","10"
"6","717","Mariana ARISMEDI TRUJILLO","Infantil","15","17","KTM","Bogotá D.C.","Todo terreno track","","1","7","7"
"7","629","Jaivert Israel GUZMAN MENDEZ","Infantil","13","19","Yamaha","Tolima","GR 522 RACING","","1","8","4"
"8","729","Martin RODRIGUEZ ARANGO","Infantil","10","22","Husqvarna","Tolima","CLUB BUNDE ESPINAL","","1","9","0"
"9","215","Sebastian LOPEZ CORTES","Infantil","9","23","KTM","Nariño","CLUB BUFALO XTREM PARK","","1","0","8"
"10","105","Jhonathan Felipe ARENAS PORRAS","Infantil","9","23","KTM","Santander","CLUB MOTO FULL RACING TEAM","","1","3","5"
"11","O-330","","Infantil","9","23","","","","","0","6","3"
"12","801","Samuel MAYA SANCHEZ","Infantil","7","25","KTM","Valle del Cauca","Carasucias","","1","0","6"
"13","O-566","","Infantil","6","26","","","","","0","5","1"
"14","212","Salome MENDEZ SAMBONI","Infantil","2","30","GasGas","Cauca","CLUB CORONA CLUB XTREME PARK","","0","0","2"
"15","28","Sofia ESCOBAR HINCAPIE","Infantil","2","30","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","","1","0","1"
"16","272","Maximiliano TEJADA GONZALEZ","Infantil","1","31","GasGas","Cauca","CLUB CORONA","","1","0","0"
"17","O-28","Critopher Antonio Lainez","Infantil","1","31","","Valle","","","1","0","0"
"18","49","Ivvana Rugeles Avendaño","Infantil","1","31","KTM","Caldas","CLUB VILLAMARIA RACING CLUB","","1","0","0"
"19","O-110","","Infantil","0","32","","","","","0","0","0"
"20","106","MICHAEL GIOVANNY ARENAS PORRAS","Infantil","0","32","KTM","Santander","CLUB MOTO FULL RACING TEAM","","0","0","0"
