"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","206","Juan Martin HOYOS VASQUEZ","Infantil mini","31.088","2","","","15","9:00.438",""
"2","221","Jeronimo CASTILLO JIMENEZ","Infantil mini","33.607","1","6.763","6.763","13","9:07.201",""
"3","319","Samuel BELTRÁN PRIETO","Infantil mini","34.360","2","10.933","4.170","11","9:11.371",""
"4","33","Jorge Mario OCAMPO MEJIA","Infantil mini","38.631","7","1 Vuelta","1 Vuelta","10","9:29.492",""
"5","917","Elias YEPES ZAMORANO","Infantil mini","38.519","3","1 Vuelta","4.634","9","9:34.126",""
"6","717","Mariana ARISMEDI TRUJILLO","Infantil mini","37.391","2","1 Vuelta","8.641","8","9:42.767",""
"7","157","Agustín ARAGÓN JIMENEZ","Infantil mini","37.059","3","2 Vueltas","1 Vuelta","7","10:04.834",""
"8","133","Valery DIAZ VELASQUEZ","Infantil mini","39.803","1","3 Vueltas","1 Vuelta","6","9:22.931",""
"9","109","Sebastian LOPEZ MUÑOZ","Infantil mini","38.540","1","3 Vueltas","7.041","5","9:29.972",""
"10","49","Ivvana Rugeles Avendaño","Infantil mini","37.583","4","4 Vueltas","1 Vuelta","4","10:52.727",""
"11","O-209","Jeronimo Alvarez","Infantil mini","45.646","1","6 Vueltas","2 Vueltas","3","9:22.184",""
"","927","Emiliano MENDEZ CANO","Infantil mini","44.804","2","7 Vueltas","1 Vuelta","0","9:27.114",""
"NT","O-13","","Infantil mini","","0","NT","","0","",""
"NT","O-317","","Infantil mini","","0","NT","","0","",""
"NT","10","Isaak Dominic CAICEDO CALLE","Infantil mini","","0","NT","","0","",""
"NT","11","Mathias OTALVARO MARULANDA","Infantil mini","","0","NT","","0","",""
"NT","312","Santiago Sánchez Jiménez","Infantil mini","","0","NT","","0","",""
"EX","255","Juan Jose LEYTON ERASO","Infantil mini","35.707","3","EX","","0","9:23.284","Parametros técnicos: Sin tapa piñón"
