"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","Juvenil","1:12.469","1","","","15","16:58.344",""
"2","139","Valentino ZULETA CARDONA","Juvenil","1:16.655","10","1:03.285","1:03.285","13","18:01.629",""
"3","113","Tomas VERGARA ARANZAZU","Juvenil","1:16.473","8","1:23.389","20.104","11","18:21.733",""
"4","130","Santiago GUTIERREZ CASTILLO","Juvenil","1:18.857","6","1 Vuelta","1 Vuelta","10","17:16.472",""
"5","120","Matias GOMEZ ORJUELA","Juvenil","1:20.885","11","1 Vuelta","9.053","9","17:25.525",""
"6","12","Thomas MESA RONDON","Juvenil","1:20.159","8","1 Vuelta","0.928","8","17:26.453",""
"7","715","Joan esteban Valdez Osorio","Juvenil","1:23.765","9","1 Vuelta","12.369","7","17:38.822",""
"8","420","Esteban ARCILA ACEVEDO","Juvenil","1:22.445","9","1 Vuelta","13.580","6","17:52.402",""
"9","313","Pedro BARDAWIL ZULUAGA","Juvenil","1:24.247","2","1 Vuelta","2.239","5","17:54.641",""
"10","815","kevin GONZALEZ PIEDRAHITA","Juvenil","1:23.165","10","1 Vuelta","4.058","4","17:58.699",""
"11","O-32","","Juvenil","1:23.507","11","1 Vuelta","1.754","3","18:00.453",""
"12","24","Esteban CARDENAS RUIZ","Juvenil","1:24.722","7","1 Vuelta","6.440","2","18:06.893",""
"13","51-E","DAIAN OBANDO","Juvenil","1:21.900","8","1 Vuelta","11.625","1","18:18.518",""
"14","416","David Alejandro CARVAJAL FLOREZ","Juvenil","1:24.902","7","2 Vueltas","1 Vuelta","1","17:02.219",""
"15","626","Juan Antonio PIEDRAHITA VARELA","Juvenil","1:23.618","5","2 Vueltas","51.576","1","17:53.795",""
"16","822","Mateo Orozco vasquez","Juvenil","1:27.954","2","2 Vueltas","0.552","0","17:54.347",""
"17","615","samuel hernandez rabe","Juvenil","1:36.268","7","3 Vueltas","1 Vuelta","0","18:12.567",""
"18","630","Samuel Andres PINTO DUARTE","Juvenil","1:28.373","2","4 Vueltas","1 Vuelta","0","17:58.047",""
"NT","131","Agustin Toro Montoya","Juvenil","","0","NT","","0","",""
"NT","146","Gabriel Alejandro MESA ARROYO","Juvenil","","0","NT","","0","",""
"NT","888","Maximiliano YEPES ZAMORANO","Juvenil","","0","NT","","0","",""
