"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","Libre pro","1:17.874","2","","","15","16:37.279",""
"2","563","Jhon Jader Valero Palencia","Libre pro","1:21.224","1","33.004","33.004","13","17:10.283",""
"3","199","Nicolas Felipe REY REY","Libre pro","1:20.868","3","47.892","14.888","11","17:25.171",""
"4","983","EDINSON ANDRES CASAS PLAZA","Libre pro","1:20.095","1","1:00.827","12.935","10","17:38.106",""
"5","318","Samuel ARDILA","Libre pro","1:23.758","1","1 Vuelta","1 Vuelta","9","17:12.671",""
"6","O-444","Faber Andres Giraldo","Libre pro","1:30.390","2","1 Vuelta","41.361","8","17:54.032",""
"7","346","Yurk Breiner CORREA PEREZ","Libre pro","1:29.354","6","1 Vuelta","10.785","7","18:04.817",""
"8","O-423","Juan Camilo Obando","Libre pro","1:30.809","8","2 Vueltas","1 Vuelta","6","16:50.075",""
"9","722","Alan HERNANDEZ RABE","Libre pro","1:33.942","7","2 Vueltas","8.737","5","16:58.812",""
"10","937","Jose Miguel MAYOR BEDOYA","Libre pro","1:28.305","1","2 Vueltas","38.172","4","17:36.984",""
"11","411","Juan Sebastian GIRON CARVAJAL","Libre pro","1:35.377","1","2 Vueltas","14.456","3","17:51.440",""
"12","710","Juan David MENDOZA DUARTE","Libre pro","1:30.918","1","3 Vueltas","1 Vuelta","2","16:48.935",""
"NT","269","Jhon santiago HERNANDEZ BERMUDEZ","Libre pro","1:34.990","1","NT","","0","15:29.139",""
"NT","229","Rubén Dario peña hoyos","Libre pro","1:30.225","3","NT","","0","11:31.342",""
"NT","O-217","Hector Fabio Restrepo","Libre pro","","0","NT","","0","",""
"NT","814","Abel Eduardo CARABALI CARABALI","Libre pro","","0","NT","","0","",""
