"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","114","Miguel Angel LOPEZ MARTINEZ","Libre pro","33","0","GasGas","Quindío","CLUB RUTEROS DEL QUINDIO","3","15","15"
"2","563","Jhon Jader Valero Palencia","Libre pro","28","5","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","2","13","13"
"3","199","Nicolas Felipe REY REY","Libre pro","23","10","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1","11","11"
"4","O-444","Faber Andres Giraldo","Libre pro","17","16","","Valle","","1","8","8"
"5","O-423","Juan Camilo Obando","Libre pro","16","17","","Valle","","1","6","9"
"6","937","Jose Miguel MAYOR BEDOYA","Libre pro","15","18","KTM","Valle del Cauca","Carasucias","1","4","10"
"7","346","Yurk Breiner CORREA PEREZ","Libre pro","13","20","Husqvarna","Tolima","CLUB PISTON RACING","--","7","6"
"8","411","Juan Sebastian GIRON CARVAJAL","Libre pro","11","22","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","1","3","7"
"9","983","EDINSON ANDRES CASAS PLAZA","Libre pro","11","22","KTM","Huila","CLUB MOTO JAPONESA","1","10","0"
"10","722","Alan HERNANDEZ RABE","Libre pro","10","23","Sherco","Valle del Cauca","Carasucias","1","5","4"
"11","318","Samuel ARDILA","Libre pro","10","23","GasGas","Antioquia","CLUB GRILLOS RACING","1","9","0"
"12","229","Rubén Dario peña hoyos","Libre pro","6","27","Yamaha","Valle del Cauca","Carasucias","1","0","5"
"13","710","Juan David MENDOZA DUARTE","Libre pro","6","27","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1","2","3"
"14","269","Jhon santiago HERNANDEZ BERMUDEZ","Libre pro","1","32","Yamaha","Valle del Cauca","Carasucias","1","0","0"
"NT","O-217","Hector Fabio Restrepo","Libre pro","1","32","","Valle","","1","0","0"
"NT","814","Abel Eduardo CARABALI CARABALI","Libre pro","1","32","Yamaha","Valle del Cauca","Carasucias","1","0","0"
