"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","132","Uberney VALENCIA MARTINEZ","Master","1:21.190","5","","","15","14:20.155",""
"2","251","Eder Danny TAPIERO LOPEZ","Master","1:22.557","3","5.886","5.886","13","14:26.041",""
"3","108-E","Diego obando","Master","1:24.636","3","42.716","36.830","11","15:02.871",""
"4","O-225","Albeiro Aldear","Master","1:24.040","6","1:00.671","17.955","10","15:20.826",""
"5","77","German Dario TREJO COLLAZOS","Master","1:26.405","3","1:20.085","19.414","9","15:40.240",""
"6","523","RICHARD ALEXANDER ALARCON ALVAREZ","Master","1:25.514","6","1:26.850","6.765","8","15:47.005",""
"7","227","CARLOS ALBERTO LUCERO","Master","1:27.990","9","1:28.552","1.702","7","15:48.707",""
"8","202","Ivan Dario BENAVIDES FAJARDO","Master","1:29.210","4","1 Vuelta","1 Vuelta","6","14:29.960",""
"9","311","Henry MORENO BENAVIDES","Master","1:24.725","6","1 Vuelta","6.574","5","14:36.534",""
"10","188","Edison Gonzales Botero","Master","1:32.803","8","1 Vuelta","12.414","4","14:48.948",""
