"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","R1. ","R2. ","R3. "
"1","132","Uberney VALENCIA MARTINEZ","Master","31","0","KTM","Valle del Cauca","Carasucias","","3","13","15"
"2","251","Eder Danny TAPIERO LOPEZ","Master","29","2","KTM","Valle del Cauca","MOTOCLUB TRAVESURAS","","1","15","13"
"3","O-225","Albeiro Aldear","Master","23","8","","Valle","","","2","11","10"
"4","108-E","Diego obando","Master","20","11","Husqvarna","Valle del Cauca","Carasucias","","1","8","11"
"5","523","RICHARD ALEXANDER ALARCON ALVAREZ","Master","19","12","KTM","Putumayo","CLUB EXTREME RACING","","1","10","8"
"6","311","Henry MORENO BENAVIDES","Master","15","16","GasGas","Nariño","CLUB MOTEROS LA UNION RIDERS","","1","9","5"
"7","77","German Dario TREJO COLLAZOS","Master","14","17","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","","1","4","9"
"8","227","CARLOS ALBERTO LUCERO","Master","14","17","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","","1","6","7"
"9","202","Ivan Dario BENAVIDES FAJARDO","Master","12","19","Yamaha","Nariño","CLUB BUFALO XTREM PARK","","1","5","6"
"10","188","Edison Gonzales Botero","Master","12","19","KTM","Tolima","CLUB PISTON RACING","","1","7","4"
