"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","132","Uberney VALENCIA MARTINEZ","Master","1:14.051","3","","","3","7:39.262",""
"2","O-225","Albeiro Aldear","Master","1:13.718","1","2.002","2.002","2","7:41.264",""
"3","523","RICHARD ALEXANDER ALARCON ALVAREZ","Master","1:16.135","4","17.073","15.071","1","7:56.335",""
"4","311","Henry MORENO BENAVIDES","Master","1:14.705","4","25.559","8.486","1","8:04.821",""
"5","77","German Dario TREJO COLLAZOS","Master","1:16.939","4","32.026","6.467","1","8:11.288",""
"6","251","Eder Danny TAPIERO LOPEZ","Master","1:15.165","4","41.978","9.952","1","8:21.240",""
"7","227","CARLOS ALBERTO LUCERO","Master","1:22.080","2","46.664","4.686","1","8:25.926",""
"8","202","Ivan Dario BENAVIDES FAJARDO","Master","1:19.784","4","49.536","2.872","1","8:28.798",""
"9","108-E","Diego obando","Master","1:16.042","1","1:08.846","19.310","1","8:48.108",""
"10","188","Edison Gonzales Botero","Master","1:21.677","1","1:11.613","2.767","1","8:50.875",""
