"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","91","Sergio Martinez Aguirre","200 Novatos","1:15.741","5","","","3","9:31.078",""
"2","81","Santiago Garcés Jiménez","200 Novatos","1:15.492","5","3.294","3.294","2","9:34.372",""
"3","92","Nelson Osorio","200 Novatos","1:19.047","1","26.061","22.767","1","9:57.139",""
"4","26","Rene Alberto ACOSTA CRIOLLO","200 Novatos","1:18.512","3","27.867","1.806","1","9:58.945",""
"5","112","Jonathan Echeverry Toro","200 Novatos","1:20.500","1","40.579","12.712","1","10:11.657",""
"6","217","Hector Fabio Restrepo","200 Novatos","1:15.693","5","57.425","16.846","1","10:28.503",""
"7","225","Andres Felipe RAMIREZ CORTES","200 Novatos","1:22.044","2","57.536","0.111","1","10:28.614",""
"8","172","Brian Stiven ALVAREZ GRISALES","200 Novatos","1:19.227","1","58.078","0.542","1","10:29.156",""
"9","88","Edison SAntiago GONZALEZ VELOZA","200 Novatos","1:19.626","1","1:03.290","5.212","1","10:34.368",""
"10","24","Esteban CARDENAS RUIZ","200 Novatos","1:20.720","4","1:11.913","8.623","1","10:42.991",""
"11","O-730","","200 Novatos","1:22.418","2","1:12.509","0.596","1","10:43.587",""
"12","O-90","Carlos Andres Pinilla","200 NOVATOS","","0","","","1","",""
