"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","610-E","Jhon Sebastián agredo","Juvenil","Putumayo","CLUB EXTREME RACING","Husqvarna","48.536","15","3","15","","",""
"2","386","Frank Stiven ZAMBRANO ABELLO","Juvenil","Putumayo","TEAM RACING MOCOA","KTM","48.406","15","14","13","3.022","3.022",""
"3","626","Juan Antonio PIEDRAHITA VARELA","Juvenil","Risaralda","CLUB LOS GUEPARDOS","GasGas","49.273","15","14","11","9.774","6.752",""
"4","710","Juan David MENDOZA DUARTE","Juvenil","Meta","VILLAVICENCIO RACING CLUB","Yamaha","49.214","15","8","10","10.571","0.797",""
"5","122","Santiago Alejandro SANTANDER MONTENEGRO","Juvenil","Putumayo","CLUB EXTREME RACING","Husqvarna","55.380","13","10","9","2 Vueltas","2 Vueltas",""
"6","420","Esteban ARCILA ACEVEDO","Juvenil","Risaralda","CLUB LOS GUEPARDOS","GasGas","52.536","13","8","8","2 Vueltas","41.933",""
"7","777","Dominique Samuel Díaz Maca","Juvenil","Putumayo","CLUB EXTREME RACING","KTM","1:10.830","8","2","7","7 Vueltas","5 Vueltas",""
"NT","57","Raphael ANGULO TEJADA","Juvenil","Nariño","MOTOCLUB IPIALES","KTM","","","0","0","NT","",""
"NT","146","Gabriel Alejandro Mesa Arrollo","Juvenil","Nariño","","Yamaha","","","0","0","NT","",""
"NT","224","Kimberly Juliana GUERRERO GARCIA","Juvenil","Nariño","MOTOCLUB IPIALES","KTM","","","0","0","NT","",""
