"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","710","Juan David MENDOZA DUARTE","Juvenil","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:08.960","7","3","3","","",""
"2","420","Esteban ARCILA ACEVEDO","Juvenil","Risaralda","CLUB LOS GUEPARDOS","GasGas","1:13.445","7","4","2","1:12.818","1:12.818",""
"3","610-E","Jhon Sebastián agredo","Juvenil","Putumayo","CLUB EXTREME RACING","Husqvarna","1:02.513","7","3","1","1:34.742","21.924",""
"4","626","Juan Antonio PIEDRAHITA VARELA","Juvenil","Risaralda","CLUB LOS GUEPARDOS","GasGas","1:07.341","6","2","1","1 Vuelta","1 Vuelta",""
"5","122","Santiago Alejandro SANTANDER MONTENEGRO","Juvenil","Putumayo","CLUB EXTREME RACING","Husqvarna","1:11.181","6","3","1","1 Vuelta","4.539",""
"6","777","Dominique Samuel Díaz Maca","Juvenil","Putumayo","CLUB EXTREME RACING","KTM","5:14.564","2","2","1","5 Vueltas","4 Vueltas",""
"NT","386","Frank Stiven ZAMBRANO ABELLO","Juvenil","Putumayo","TEAM RACING MOCOA","Husqvarna","1:09.883","2","2","0","NT","",""
"NT","146","Gabriel Alejandro Mesa Arrollo","Juvenil","Nariño","","Yamaha","2:09.382","2","2","0","NT","",""
"NT","224","Kimberly Juliana GUERRERO GARCIA","Juvenil","Nariño","MOTOCLUB IPIALES","KTM","","1","0","0","NT","",""
"NT","57","Raphael ANGULO TEJADA","Juvenil","Nariño","MOTOCLUB IPIALES","KTM","","","0","0","NT","",""
