"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","610-E","Jhon Sebastián agredo","Juvenil","31","0","Husqvarna","Putumayo","CLUB EXTREME RACING","1","15","15"
"2","710","Juan David MENDOZA DUARTE","Juvenil","26","5","Yamaha","Meta","VILLAVICENCIO RACING CLUB","3","10","13"
"3","626","Juan Antonio PIEDRAHITA VARELA","Juvenil","23","8","GasGas","Risaralda","CLUB LOS GUEPARDOS","1","11","11"
"4","386","Frank Stiven ZAMBRANO ABELLO","Juvenil","23","8","Husqvarna","Putumayo","TEAM RACING MOCOA","0","13","10"
"5","420","Esteban ARCILA ACEVEDO","Juvenil","19","12","GasGas","Risaralda","CLUB LOS GUEPARDOS","2","8","9"
"6","122","Santiago Alejandro SANTANDER MONTENEGRO","Juvenil","18","13","Husqvarna","Putumayo","CLUB EXTREME RACING","1","9","8"
"7","777","Dominique Samuel Díaz Maca","Juvenil","15","16","KTM","Putumayo","CLUB EXTREME RACING","1","7","7"
"NT","57","Raphael ANGULO TEJADA","Juvenil","0","31","KTM","Nariño","MOTOCLUB IPIALES","0","0","0"
"NT","146","Gabriel Alejandro Mesa Arrollo","Juvenil","0","31","Yamaha","Nariño","","0","0","0"
"NT","224","Kimberly Juliana GUERRERO GARCIA","Juvenil","0","31","KTM","Nariño","MOTOCLUB IPIALES","0","0","0"
