"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","336","DAVID ALEJANDRO IBARRA ECHEVERRY","Libre novatos","Putumayo","CLUB EXTREME RACING","Kymco","51.243","15","7","15","","",""
"2","81","Santiago Garcés Jiménez","Libre novatos","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","51.782","15","3","13","8.333","8.333",""
"3","444","Faber Andrés giraldo","Libre novatos","Valle del Cauca","Carasucias","KTM","51.368","15","15","11","9.201","0.868",""
"4","61","Luis Fernando LOPEZ","Libre novatos","Putumayo","CLUB EXTREME RACING","Husqvarna","53.350","15","4","10","24.494","15.293",""
"5","122","","Libre novatos","Putumayo","","Husqvarna","53.618","15","6","9","28.254","3.760",""
"6","139","","Libre novatos","Putumayo","","","54.677","14","5","8","1 Vuelta","1 Vuelta",""
"7","58","Diego Ignacio ROJAS ROSERO","Libre novatos","Nariño","CLUB DEPORTIVO BUFALO XTREM","Honda","54.616","14","6","7","1 Vuelta","26.901",""
"8","264","Gelber eduardo acosta lopez","Libre novatos","Putumayo","CLUB EXTREME RACING","KTM","53.870","14","2","6","1 Vuelta","15.421",""
"9","175-E","JHONIER ALEJANDRO CRUZ JUAJIBIOY","Libre novatos","Putumayo","CLUB EXTREME RACING","Yamaha","51.181","14","2","5","1 Vuelta","56.261",""
"10","317","Andrés Parmenio MORENO ZARATE","Libre novatos","Putumayo","CLUB EXTREME RACING","Husqvarna","57.586","13","4","4","2 Vueltas","1 Vuelta",""
"11","832","Roberto Carlos Campaña Cuellar","Libre novatos","Putumayo","CLUB EXTREME RACING","KTM","1:03.089","13","8","3","2 Vueltas","21.648",""
"NE","111","Víctor Sebastian Termal Hernández","Libre novatos","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","","","0","0","NE","",""
