"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","336","DAVID ALEJANDRO IBARRA ECHEVERRY","Libre novatos","33","0","Kymco","Putumayo","CLUB EXTREME RACING","3","15","15"
"2","81","Santiago Garcés Jiménez","Libre novatos","25","8","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1","11","13"
"3","444","Faber Andres Giraldo","Libre novatos","25","8","","Cauca","","1","13","11"
"4","122","","Libre novatos","19","14","Husqvarna","Putumayo","","--","10","9"
"5","61","Luis Fernando LOPEZ","Libre novatos","18","15","Husqvarna","Putumayo","CLUB EXTREME RACING","1","7","10"
"6","264","Gelber eduardo acosta lopez","Libre novatos","16","17","KTM","Putumayo","CLUB EXTREME RACING","2","8","6"
"7","139","","Libre novatos","14","19","","","","--","6","8"
"8","175-E","JHONIER ALEJANDRO CRUZ JUAJIBIOY","Libre novatos","14","19","Yamaha","Putumayo","CLUB EXTREME RACING","0","9","5"
"9","58","Diego Ignacio ROJAS ROSERO","Libre novatos","12","21","","Nariño","","0","5","7"
"10","317","Andrés Parmenio MORENO ZARATE","Libre novatos","8","25","Husqvarna","Putumayo","CLUB EXTREME RACING","1","3","4"
"11","832","Roberto Carlos Campaña Cuellar","Libre novatos","7","26","","Putumayo","","0","4","3"
"NT","610-E","Jhon Sebastián agredo","Libre novatos","0","33","KTM","Putumayo","CLUB EXTREME RACING","0","--","--"
"NT","111","Víctor Sebastian Termal Hernández","Libre novatos","0","33","Yamaha","Nariño","CLUB MOTEROS RIDERS LA UNION","0","0","0"
