"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","Libre pro","Putumayo","TEAM RACING MOCOA","GasGas","43.622","21","6","15","","",""
"2","696-E","willian daniel rodriguez rosero","Libre pro","Putumayo","CLUB EXTREME RACING","KTM","45.894","21","7","13","44.287","44.287",""
"3","243","David Fernando BURBANO GOMEZ","Libre pro","Putumayo","TEAM RACING MOCOA","GasGas","46.476","20","3","11","1 Vuelta","1 Vuelta",""
"4","563","Jhon Jader Valero Palencia","Libre pro","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","48.192","20","2","10","1 Vuelta","0.661",""
"5","610-E","Jhon Sebastián agredo","Libre pro","Putumayo","CLUB EXTREME RACING","KTM","46.526","20","8","9","1 Vuelta","14.553",""
"6","386","Frank Stiven ZAMBRANO ABELLO","Libre pro","Putumayo","TEAM RACING MOCOA","Husqvarna","46.135","20","5","8","1 Vuelta","6.222",""
"7","710","Juan David MENDOZA DUARTE","Libre pro","Meta","VILLAVICENCIO RACING CLUB","Yamaha","48.441","20","4","7","1 Vuelta","1.784",""
"8","479","Cristian Felipe CHAVARRO RODRIGUEZ","Libre pro","Nariño","MOTOCLUB IPIALES","Suzuki","50.405","17","14","6","4 Vueltas","3 Vueltas",""
"9","511","Victor Manuel MORA","Libre pro","Nariño","MOTOCLUB IPIALES","Yamaha","51.766","15","3","5","6 Vueltas","2 Vueltas",""
"NT","76-E","Oscar Andres Correa Gomez","Libre pro","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","49.157","11","6","0","NT","4 Vueltas",""
"NE","110","Jesus Ivan PASTAS PERENGUEZ","Libre pro","Nariño","MOTOCLUB IPIALES","Yamaha","","","0","0","NE","",""
