"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","Libre pro","Putumayo","TEAM RACING MOCOA","GasGas","48.555","3","3","3","","",""
"2","696-E","willian daniel rodriguez rosero","Libre pro","Putumayo","CLUB EXTREME RACING","KTM","57.383","3","2","2","2.969","2.969",""
"3","243","David Fernando BURBANO GOMEZ","Libre pro","Putumayo","TEAM RACING MOCOA","GasGas","1:01.952","3","3","1","13.398","10.429",""
"4","386","Frank Stiven ZAMBRANO ABELLO","Libre pro","Putumayo","TEAM RACING MOCOA","Husqvarna","1:02.263","3","3","1","16.219","2.821",""
"5","563","Jhon Jader Valero Palencia","Libre pro","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","1:06.750","3","2","1","27.019","10.800",""
"6","710","Juan David MENDOZA DUARTE","Libre pro","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:09.714","3","2","1","1:03.823","36.804",""
"7","511","Victor Manuel MORA","Libre pro","Nariño","MOTOCLUB IPIALES","Yamaha","1:17.126","3","2","1","1:49.347","45.524",""
"NT","76-E","Oscar Andres Correa Gomez","Libre pro","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","1:14.764","2","2","1","NT","1 Vuelta",""
"9","479","Cristian Felipe CHAVARRO RODRIGUEZ","Libre pro","Nariño","MOTOCLUB IPIALES","Suzuki","1:37.857","2","2","1","1 Vuelta","1:27.165",""
"NT","110","Jesus Ivan PASTAS PERENGUEZ","Libre pro","Nariño","MOTOCLUB IPIALES","Yamaha","","","0","1","NT","",""
