"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","Libre pro","33","0","GasGas","Putumayo","TEAM RACING MOCOA","3","15","15"
"2","243","David Fernando BURBANO GOMEZ","Libre pro","25","8","GasGas","Putumayo","TEAM RACING MOCOA","1","11","13"
"3","696-E","willian daniel rodriguez rosero","Libre pro","25","8","KTM","Putumayo","CLUB EXTREME RACING","2","13","10"
"4","563","Jhon Jader Valero Palencia","Libre pro","22","11","Honda","Cauca","CLUB CORONA CLUB XTREME PARK","1","10","11"
"5","710","Juan David MENDOZA DUARTE","Libre pro","17","16","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1","7","9"
"6","610-E","Jhon Sebastián agredo","Libre pro","16","17","KTM","Putumayo","CLUB EXTREME RACING","--","9","7"
"7","511","Victor Manuel MORA","Libre pro","14","19","Yamaha","Nariño","MOTOCLUB IPIALES","1","5","8"
"8","386","Frank Stiven ZAMBRANO ABELLO","Libre pro","9","24","Husqvarna","Putumayo","TEAM RACING MOCOA","1","8","0"
"9","479","Cristian Felipe CHAVARRO RODRIGUEZ","Libre pro","7","26","Suzuki","Nariño","MOTOCLUB IPIALES","1","6","0"
"NT","76-E","Oscar Andres Correa Gomez","Libre pro","1","32","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","1","0","0"
"NT","110","Jesus Ivan PASTAS PERENGUEZ","Libre pro","1","32","Yamaha","Nariño","MOTOCLUB IPIALES","1","0","0"
