"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","108","Juan José López","15","Caldas","CLUB VILLAMARIA RACING CLUB","Honda","11","200 Novatos","1:10.873","6","","",""
"2","91","Sergio Martinez Aguirre","13","Caldas","CLUB VILLAMARIA RACING CLUB","Honda","11","200 Novatos","1:11.614","4","10.594","10.594",""
"3","88","Edison SAntiago GONZALEZ VELOZA","11","Tolima","CLUB PISTON RACING","Honda","11","200 Novatos","1:12.477","2","33.682","23.088",""
"4","172","Brian Stiven ALVAREZ GRISALES","10","Tolima","CLUB PISTON RACING","Honda","11","200 Novatos","1:12.884","5","49.187","15.505",""
"5","217","Hector Fabio Restrepo","9","Valle del Cauca","Carasucias","Yamaha","11","200 Novatos","1:15.639","8","1:04.599","15.412",""
"6","26","Rene Alberto ACOSTA CRIOLLO","8","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","10","200 Novatos","1:18.649","3","1 Vuelta","1 Vuelta",""
"7","92","Nelson Osorio","7","Valle del Cauca","Carasucias","Yamaha","10","200 Novatos","1:16.767","5","1 Vuelta","8.443",""
"8","112","Jonathan Echeverry Toro","6","Caldas","CLUB VILLAMARIA RACING CLUB","Yamaha","10","200 Novatos","1:17.216","2","1 Vuelta","38.605",""
"9","24","Esteban CARDENAS RUIZ","5","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","8","200 Novatos","1:19.221","3","3 Vueltas","2 Vueltas",""
"","81","Santiago Garcés Jiménez","0","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","2","200 Novatos","1:42.814","2","9 Vueltas","6 Vueltas",""
