"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","243","David Fernando BURBANO GOMEZ","Supermoto","Putumayo","TEAM RACING MOCOA","Husqvarna","1:09.202","6","","",""
"2","227","Rigo German SALAZAR CERON","Supermoto","Quindío","CLUB MONSTER GARAGE","Husqvarna","1:10.222","4","1.020","1.020",""
"3","155","Juan Felipe HERNANDEZ ALZATE","Supermoto","Meta","CLUB LLANEROS RANCING","Yamaha","1:12.690","3","3.488","2.468",""
"4","207","David Alejandro FORERO ZAPATA","Supermoto","Putumayo","TEAM RACING MOCOA","Husqvarna","1:14.646","4","5.444","1.956",""
"5","921","Giomar Nicolas Ruiz Burbano","Supermoto","Nariño","MOTOCLUB CONSACA","Yamaha","1:14.711","3","5.509","0.065",""
"6","158","Angel Alberto SALOMON ORTIZ","Supermoto","Nariño","CLUB DEPORTIVO BUFALO XTREM","KTM","1:16.199","3","6.997","1.488",""
"7","829-E","Juan David Burbano Ramos","Supermoto","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:16.442","4","7.240","0.243",""
"8","27","Lisandro VASQUEZ RAMIREZ","Supermoto","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:17.990","6","8.788","1.548",""
"9","68","Alvaro Javier PEREZ BERNAL","Supermoto","Quindío","CLUB DISCOVER QUINDIO","Yamaha","1:18.316","5","9.114","0.326",""
"10","914","Santiago Andres Guerra Ramos","Supermoto","Nariño","CLUB JOSMARC MOTOS RACING","KTM","1:24.362","2","15.160","6.046",""
"11","98","Mateo CASTELLANOS CARVAJAL","Supermoto","Caldas","CLUB JHC RACING","Yamaha","","0","","",""
"12","988","JUAN CARLOS LOPEZ VIDAL","Supermoto","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","","0","","",""
