"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","51","Pablo SAENZ MORALES","X-bikes A","Bogotá D.C.","Todo terreno track","BMW","1:10.006","4","","",""
"2","422","Sebastian ROMAN GARCIA","X-bikes A","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","BMW","1:10.020","5","0.014","0.014",""
"3","531","Sebastian HERRERA HERRERA","X-bikes A","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","BMW","1:10.037","5","0.031","0.017",""
"4","9","Christian Fernando MEJIA ALFONSO","X-bikes A","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","BMW","1:11.910","5","1.904","1.873",""
"5","381","Juan Felipe CHU OCHOA","X-Bikes A","Bogotá D.C.","Xspeed Racing","Honda","1:13.408","4","3.402","1.498",""
"6","91","Tomas MORENO PALACIO","X-bikes B","Antioquia","CLUB LOS PASKINES","AKT","1:13.748","1","3.742","0.340",""
"7","7","Luis Carlos III SARMIENTO CARVAJAL","X-bikes B","Bogotá D.C.","Xspeed Racing","KTM","1:14.054","1","4.048","0.306",""
"8","215","Jhon Fabio URREGO BADILLO","X-bikes A","Caldas","CLUB RACING PERFORMANCE","Honda","1:14.579","2","4.573","0.525",""
"9","816","Ronald ARISTIZABAL","X-bikes A","VALLE DEL CAUCA","Team Potenza","","1:16.371","5","6.365","1.792",""
"10","587","Cristian Camilo OSPINA ZULUAGA","X-bikes B","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Triumph","1:16.581","6","6.575","0.210",""
"11","264","Bryan Steven MANTILLA VALENCIA","X-bikes A","Valle del Cauca","Team Potenza","BMW","1:17.156","6","7.150","0.575",""
"12","486-E","Juan jose Arango  Vergara","X-bikes A","Risaralda","CLUB ENDUROCROSS","Yamaha","1:17.171","2","7.165","0.015",""
"13","601","Guido Alexander MORENO PARDO","X-bikes A","Cauca","CLUB CORONA CLUB XTREME PARK","BMW","1:17.183","2","7.177","0.012",""
"14","429","Valentina MARTINEZ TRUJILLO","X-bikes B","Tolima","CLUB PISTON RACING","Honda","1:19.008","4","9.002","1.825",""
"15","256","Cristian Tarazona Romero","X-bikes B","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Yamaha","1:19.212","6","9.206","0.204",""
"16","281","Daniel Felipe GUERRERO MONTILLA","X-bikes B","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","1:19.547","6","9.541","0.335",""
"17","590","Giovanni Andres AREVALO SALCED","X-Bikes A","","","","1:20.214","1","10.208","0.667",""
"18","187","JOHN JAIME","X-bikes B","Antioquia","CLUB LOS PASKINES","Ducati","1:20.848","3","10.842","0.634",""
"19","81","Juan Pablo RUIZ ALVAREZ","X-bikes B","Tolima","GR 522 RACING","Husqvarna","1:24.530","2","14.524","3.682",""
"20","331","Johan Alejandro Fajardo Jaime","X-bikes B","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","BMW","1:24.766","1","14.760","0.236",""
"21","629","Diego Fernando ROMERO CARDENAS","X-bikes B","Tolima","CLUB MOTORBIKE","Husqvarna","1:26.131","2","16.125","1.365",""
"22","149","Andres Orlando RONDON PERDOMO","X-bikes B","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Suzuki","1:26.275","2","16.269","0.144",""
