"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","243","David Fernando BURBANO GOMEZ","15","Supermoto","Husqvarna","Putumayo","TEAM RACING MOCOA","","1:09.376","12",""
"2","227","Rigo German SALAZAR CERON","13","Supermoto","Husqvarna","Quindío","CLUB MONSTER GARAGE","20.226","1:09.011","12",""
"3","207","David Alejandro FORERO ZAPATA","11","Supermoto","Husqvarna","Putumayo","TEAM RACING MOCOA","35.567","1:13.530","12",""
"4","921","Giomar Nicolas Ruiz Burbano","10","Supermoto","Yamaha","Nariño","MOTOCLUB CONSACA","39.135","1:14.165","12",""
"5","829-E","Juan David Burbano Ramos","9","Supermoto","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","41.014","1:14.051","12",""
"6","158","Angel Alberto SALOMON ORTIZ","8","Supermoto","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","57.921","1:15.004","12",""
"7","68","Alvaro Javier PEREZ BERNAL","7","Supermoto","Yamaha","Quindío","CLUB DISCOVER QUINDIO","1:04.489","1:10.313","12",""
"8","27","Lisandro VASQUEZ RAMIREZ","6","Supermoto","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","1 Vuelta","1:15.810","11",""
"9","914","Santiago Andres Guerra Ramos","5","Supermoto","KTM","Nariño","CLUB JOSMARC MOTOS RACING","1 Vuelta","1:20.329","11",""
"NT","155","Juan Felipe HERNANDEZ ALZATE","0","Supermoto","Yamaha","Meta","CLUB LLANEROS RANCING","NT","1:12.338","4",""
