"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","114","Miguel Angel LOPEZ MARTINEZ","Mx 2","1:16.166","0","3","15","13"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","Mx 2","1:16.393","1","2","13","15"
"3","54","Thomas ZULUAGA GIRALDO","Mx 2","1:18.707","9","1","10","11"
"4","777","Euclides Antonio TORRES ROSALES","Mx 2","1:19.766","11","1","9","10"
"5","228","Jeronimo DAMELINES LOAIZA","Mx 2","1:19.244","13","1","11","6"
"6","627","JERONIMO ROMAN VELASQUEZ","Mx 2","1:20.691","14","1","8","8"
"7","211","Yeison Alexander QUIÑONES RICO","Mx 2","1:18.821","15","1","6","9"
"8","710","Juan David MENDOZA DUARTE","Mx 2","1:23.888","16","1","7","7"
"9","107","Miguel Angel FLOREZ VALENCIA","Mx 2","1:23.847","21","1","4","5"
"10","529","Esteban GONZALEZ LOPEZ","Mx 2","1:24.585","25","1","5","0"
"11","141","Isabela VILLEGAS BRAND","Mx 2","1:28.534","30","1","0","0"
