"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","150 cc","Caldas","CLUB JHC RACING","Yamaha","46.770","3","","",""
"2","243","David Fernando BURBANO GOMEZ","150 cc","Putumayo","TEAM RACING MOCOA","Yamaha","47.398","4","0.628","0.628",""
"3","88","Gerardo camilo TORRES","150 cc","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","47.413","6","0.643","0.015",""
"4","291","Juan David RIVERA PARRA","150 cc","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","47.508","5","0.738","0.095",""
"5","155","Juan Felipe HERNANDEZ ALZATE","150 cc","Meta","CLUB LLANEROS RANCING","Yamaha","47.536","8","0.766","0.028",""
"6","726","Nicolas MILLAN MURILLO","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","47.777","6","1.007","0.241",""
"7","137","Alvaro Javier PLAZAS GONZALEZ","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","48.012","8","1.242","0.235",""
"8","96","Oscar Santiago MUÑOZ CARVAJAL","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","48.041","4","1.271","0.029",""
"9","227","Rigo German SALAZAR CERON","150 cc","Quindío","CLUB MONSTER GARAGE","Yamaha","48.409","1","1.639","0.368",""
"10","829-E","Juan David Burbano Ramos","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","KTM","48.544","4","1.774","0.135",""
"11","324-E","andres Felipe HERNANDEZ SORIANO","150 cc","Huila","CLUB MOTO JAPONESA","Yamaha","48.593","6","1.823","0.049",""
"12","818","Jorge Andres Gomez Eraso","150 cc","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","48.859","10","2.089","0.266",""
"13","45","Juan Carlos SEGURA MARTINEZ","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","49.040","5","2.270","0.181",""
"14","988","JUAN CARLOS LOPEZ VIDAL","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","49.042","9","2.272","0.002",""
"15","394-E","Luis Jaime","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","49.571","4","2.801","0.529",""
"16","207","David Alejandro FORERO ZAPATA","150 cc","Putumayo","TEAM RACING MOCOA","Yamaha","49.609","3","2.839","0.038",""
"17","846","Yamid Sebastian LOPEZ VALLEJOS","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.086","4","3.316","0.477",""
"18","39-E","Julian David CONCHA VALENCIA","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.256","9","3.486","0.170",""
"19","349","Samuel Fernando rodriguez castro","150 cc","Putumayo","motoclub mocoa","Yamaha","50.541","3","3.771","0.285",""
"20","619-E","Juan Felipe LAVERDE MUÑOZ","150 cc","Quindío","CLUB MONSTER GARAGE","Yamaha","50.804","6","4.034","0.263",""
"21","977-E","Jeisson David Lamilla","150 cc","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","53.893","3","7.123","3.089",""
"22","68","Alvaro Javier PEREZ BERNAL","150 cc","Quindío","CLUB DISCOVER QUINDIO","Yamaha","1:32.380","2","45.610","38.487",""
"23","114","GIOVANY ANDRES ARTEAGA MONCAYO","150 cc","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","Yamaha","","0","","",""
"24","428","DANIEL QUINTANA CASTRO","150 cc","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","","0","","",""
