"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 CC","Putumayo","15","Husqvarna","TEAM RACING MOCOA","","1:23.765","17","","24:08.219"
"2","114","Miguel Angel LOPEZ MARTINEZ","125 CC","Quindío","13","Yamaha","CLUB RUTEROS DEL QUINDIO","1:02.947","1:24.068","17","","25:11.166"
"3","222","Maximiliano RAMIREZ RESTREPO","125 CC","Antioquia","11","Yamaha","STUNT FIVE","1 Vuelta","1:28.125","16","","24:21.287"
"4","700","Maximiliano GUERRA ALVAREZ","125 CC","Antioquia","10","Yamaha","CLUB GRILLOS RACING","1 Vuelta","1:31.412","16","","25:03.928"
"5","630","Samuel Andres PINTO DUARTE","125 CC","Meta","9","Yamaha","VILLAVICENCIO RACING CLUB","1 Vuelta","1:32.595","16","","25:47.933"
"6","247","Martin Estrada Zapata","125 CC","Antioquia","8","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","2 Vueltas","1:34.916","15","","24:18.064"
"7","244","Alejandro ANGEL ISAZA","125 CC","Valle del Cauca","7","Yamaha","Carasucias","2 Vueltas","1:36.066","15","","24:32.949"
"8","220-E","SEBASTIAN RIOS CONGOTE","125 CC","Antioquia","6","Yamaha","CLUB MOTOCROSS DE YARUMAL","3 Vueltas","1:47.735","14","","25:49.335"
"9","464-E","MATHIAS URREA MORENO","125 CC","Antioquia","5","Husqvarna","CLUB GRILLOS RACING","4 Vueltas","1:50.239","13","","25:08.475"
"10","328","Michelle Lacharme","125 CC","Antioquia","4","KTM","CLUB DE MOTOCICLISMO STUNT FIVE","5 Vueltas","1:49.327","12","","24:09.663"
"11","36-2","Thomas PINEDA GONZALEZ","125 CC","Caldas","3","Honda","CLUB DE MOTOCICLISMO JP36","6 Vueltas","1:31.223","11","","25:27.407"
"","710","Juan David MENDOZA DUARTE","125 CC","Meta","0","Yamaha","VILLAVICENCIO RACING CLUB","9 Vueltas","1:30.901","8","","25:48.039"
