"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","243","David Fernando BURBANO GOMEZ","SM expertos - Metzeler","Putumayo","TEAM RACING MOCOA","Yamaha","55.989","4","","",""
"2","227","Rigo German SALAZAR CERON","SM expertos - Metzeler","Quindío","CLUB MONSTER GARAGE","Yamaha","56.064","8","0.075","0.075",""
"3","528","Juan Andres MARIN ARANGO","SM expertos - Metzeler","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","56.401","8","0.412","0.337",""
"4","17","Cristian Camilo VASQUEZ POSADA","SM expertos - Metzeler","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","KTM","56.584","1","0.595","0.183",""
"5","59","Carlos Andres URREA HENAO","SM expertos - Metzeler","Antioquia","CLUB GRILLOS RACING","KTM","56.705","6","0.716","0.121",""
"6","189","Luis Felipe PALOMINO MEJIA","SM expertos - Metzeler","Tolima","CLUB PISTON RACING","KTM","56.762","8","0.773","0.057",""
"7","41","Nicolas DUQUE PATIÑO","SM expertos - Metzeler","Meta","VILLAVICENCIO RACING CLUB","Honda","56.781","4","0.792","0.019",""
"8","119","Cesar Alfonso TELLEZ OCAMPO","SM expertos - Metzeler","SANTANDER","","","56.951","4","0.962","0.170",""
"9","921","Giomar Nicolas RUIZ BURBANO","SM expertos - Metzeler","Nariño","MOTOCLUB CONSACA","KTM","57.007","6","1.018","0.056",""
"10","155","Juan Felipe HERNANDEZ ALZATE","SM expertos - Metzeler","Putumayo","","","57.083","6","1.094","0.076",""
"11","48","David GIRALDO BETANCUR","SM expertos - Metzeler","Antioquia","Club Deportivo Terras de San Marinno","KTM","57.220","5","1.231","0.137",""
"12","721","Juan Andres RODRIGUEZ ARIAS","SM expertos - Metzeler","Caldas","CLUB MX PRO","Husqvarna","57.259","4","1.270","0.039",""
"13","52","Edgar Andres JARAMILLO GOMEZ","SM expertos - Metzeler","Antioquia","CLUB MOTOCROSS YARUMAL","Husqvarna","57.792","3","1.803","0.533",""
"14","166","Johan Camilo GIRALDO RAMIREZ","SM expertos - Metzeler","Quindío","CLUB MONSTER GARAGE","Yamaha","57.912","4","1.923","0.120",""
"15","98","Mateo CASTELLANOS CARVAJAL","SM expertos - Metzeler","Caldas","CLUB JHC RACING","KTM","58.057","2","2.068","0.145",""
"16","133","Sergio Leon RESTREPO MEJIA","SM expertos - Metzeler","Antioquia","CLUB LOS PASKINES","Husqvarna","58.271","5","2.282","0.214",""
"17","204","Andres Felipe LONDOÑO TRUJILLO","SM expertos - Metzeler","Antioquia","CLUB GRILLOS RACING","Husqvarna","58.332","5","2.343","0.061",""
"18","10","Helio Fabian ALVAREZ NARANJO","SM expertos - Metzeler","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Husqvarna","58.334","4","2.345","0.002",""
"19","375","Wilderman RAMIREZ","SM expertos - Metzeler","Antioquia","CLUB GRILLOS RACING","Husqvarna","59.672","4","3.683","1.338",""
"20","538","Christian Anderson ROZO MENESES","SM expertos - Metzeler","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Husqvarna","59.760","3","3.771","0.088",""
"21","9","Christian Fernando MEJIA ALFONSO","SM expertos - Metzeler","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Yamaha","1:00.458","4","4.469","0.698",""
"22","813","Juan Felipe SIERRA OSORIO","SM expertos - Metzeler","Cundinamarca","CLUB GIRARDOT RACING","Husqvarna","1:00.475","2","4.486","0.017",""
"23","88","Gerardo camilo  TORRES","SM expertos - Metzeler","Valle del Cauca","","","1:00.493","5","4.504","0.018",""
