"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","259","Cristian Leonardo HERRERA ALVAREZ","15","Yamaha R15","","1:11.831","","Bogotá D.C.","Racing pilots Academy","5"
"2","726","Nicolas MILLAN MURILLO","13","Yamaha R15","3.269","1:11.966","","Cauca","CLUB CORONA CLUB XTREME PARK","5"
"3","130","Keller Andres FARFAN BENAVIDES","11","Yamaha R15","3.270","1:09.739","","Tolima","CLUB PISTON RACING","5"
"4","406","Wilson Leonardo JAVELA RAMIREZ","10","Yamaha R15","13.767","1:14.607","","Tolima","CLUB PISTON RACING","5"
"5","432","Luis Alberto RODRIGUEZ PALOMINO","9","Yamaha R15","13.829","1:13.551","","Huila","CLUB MOTO JAPONESA","5"
"6","565","Manuel Antonio SALAZAR DIAZ","8","Yamaha R15","14.006","1:14.292","","Bogotá D.C.","Todo terreno track","5"
"7","281","Daniel Felipe GUERRERO MONTILLA","7","Yamaha R15","15.901","1:14.830","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","5"
"8","186","Jonathan FARFAN","6","Yamaha R15","15.982","1:14.561","","Tolima","CLUB PISTON RACING","5"
"9","823","Cristian David FRANCO CAMACHO","5","Yamaha R15","28.117","1:16.957","","Huila","CLUB MOTO JAPONESA","5"
"10","446","Diana Katherine PEÑA VILLALBA","4","Yamaha R15","33.049","1:17.726","","Bogotá D.C.","Todo terreno track","5"
"11","499","JAVIER ALONSO NOVOA MOLINA","3","Yamaha R15","54.338","1:22.279","","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","5"
"12","544","ACERCARSE A SECRETARIA","2","Yamaha R15","54.544","1:21.933","","","","5"
"13","400","Brayan Alejandro Pérez Heredia","1","Yamaha R15","56.014","1:20.921","","Tolima","CLUB PISTON RACING","5"
"14","206","Ricardo Santiago Diaz Vasquez","1","Yamaha R15","1:00.116","1:23.346","","Tolima","CLUB PISTON RACING","5"
"15","408","David Gerardo BETANCOURTH PABON","1","Yamaha R15","1 Vuelta","1:12.190","","Bogotá D.C.","Todo terreno track","4"
"NT","52","Edgar Andres JARAMILLO GOMEZ","0","Yamaha R15","NT","1:12.082","","Antioquia","CLUB MOTOCROSS YARUMAL","3"
"EX","699","Johan Nicolas BARRIOS HILARION","0","Yamaha R15","EX","1:12.255","","Tolima","CLUB PISTON RACING","5"
