"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","272","Alfonso Gustavo LINARES OCHOA","15","Super sport","","58.699","Ducati","Bogotá D.C.","Todo terreno track","8"
"2","726","Nicolas MILLAN MURILLO","13","Super sport","7.333","59.944","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","8"
"3","52","Edgar Andres JARAMILLO GOMEZ","11","Super sport","7.729","59.743","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","8"
"4","49","Andres Felipe RONCERIA SILVA","10","Super sport","22.128","1:01.492","GasGas","Bogotá D.C.","Todo terreno track","8"
"5","304","Pedro Alejandro GALINDO AMAYA","9","Super sport","31.294","1:01.634","Ducati","Bogotá D.C.","Racing pilots Academy","8"
"6","810","Gustavo Adolfo FERRO CORCHUELO","8","Super sport","38.277","1:02.878","Ducati","Bogotá D.C.","Xspeed Racing","8"
"7","245","Johann Andres SUSA VALENCIA","7","Super sport","38.957","1:02.873","Bajaj","Bogotá D.C.","Racing pilots Academy","8"
"8","542","Cristian David HENAO PINTO","6","Super sport","45.950","1:03.729","Aprilia","Bogotá D.C.","Racing pilots Academy","8"
"9","237","Osval Luis LAMBRAÑO MOTTA","5","Super sport","53.592","1:05.298","Ducati","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","8"
"10","476-E","JONATTAN URREGO HERNÁNDEZ","4","Super sport","1:00.683","1:05.269","BMW","Valle del Cauca","MOTOCLUB TRAVESURAS","8"
"NT","12","Tomas PUERTA VASQUEZ","0","Super sport","NT","","Honda","Antioquia","CLUB LOS PASKINES",""
"NT","69","Marco polo cano","0","Super sport","NT","","Yamaha","Antioquia","CLUB GRILLOS RACING",""
"NT","728","Luis Felipe ARREDONDO GIRALDO","0","Super sport","NT","","Yamaha","Antioquia","CLUB LOS PASKINES",""
"NT","94","Deiby Jair CORRALES RIOS","0","Super sport","NT","","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER",""
"NT","813","Juan Felipe SIERRA OSORIO","0","Super sport","NT","","Unite Motor","Cundinamarca","CLUB GIRARDOT RACING",""
"NT","909","Javier ARIAS CASTAÑEDA","0","Super sport","NT","","Yamaha","Antioquia","CLUB LOS PASKINES",""
"NT","208","Angel Yesid IMBACHI ÑAÑEZ","0","Super sport","NT","","Kawasaki","Bogotá D.C.","Todo terreno track",""
"NT","590","Giovanni Andres AREVALO SALCEDO","0","Super sport","NT","","Aprilia","Bogotá D.C.","Todo terreno track",""
"NT","7","Luis Carlos III SARMIENTO CARVAJAL","0","Super sport","NT","","KTM","Bogotá D.C.","Xspeed Racing",""
"NT","366","Santiago Arbelaez Luna","0","Super sport","NT","","Kawasaki","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER",""
