"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","728","Luis Felipe ARREDONDO GIRALDO","Yamaha R15","Antioquia","CLUB LOS PASKINES","Yamaha","1:27.398","5","","",""
"2","259","Cristian Leonardo HERRERA ALVAREZ","Yamaha R15","Bogotá D.C.","Racing pilots Academy","Yamaha","1:29.218","4","1.820","1.820",""
"3","726","Nicolas MILLAN MURILLO","Yamaha R15","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:29.911","5","2.513","0.693",""
"4","408","David Gerardo BETANCOURTH PABON","Yamaha R15","Bogotá D.C.","Todo terreno track","GasGas","1:30.190","3","2.792","0.279",""
"5","432","Luis Alberto RODRIGUEZ PALOMINO","Yamaha R15","Huila","CLUB MOTO JAPONESA","Yamaha","1:31.384","4","3.986","1.194",""
"6","565","Manuel Antonio SALAZAR DIAZ","Yamaha R15","Bogotá D.C.","Todo terreno track","Yamaha","1:31.512","5","4.114","0.128",""
"7","186","Jonathan FARFAN","Yamaha R15","Tolima","CLUB PISTON RACING","Yamaha","1:32.520","3","5.122","1.008",""
"8","406","Wilson Leonardo JAVELA RAMIREZ","Yamaha R15","Tolima","CLUB PISTON RACING","Yamaha","1:32.756","4","5.358","0.236",""
"9","281","Daniel Felipe GUERRERO MONTILLA","Yamaha R15","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","1:32.986","4","5.588","0.230",""
"10","130","Keller Andres FARFAN BENAVIDES","Yamaha R15","Tolima","CLUB PISTON RACING","Yamaha","1:33.045","4","5.647","0.059",""
"11","206","Ricardo Santiago DIAZ VASQUEZ","Yamaha R15","Tolima","CLUB PISTON RACING","Yamaha","1:33.243","4","5.845","0.198",""
"12","446","Diana Katherine PEÑA VILLALBA","Yamaha R15","Bogotá D.C.","Todo terreno track","Yamaha","1:34.107","4","6.709","0.864",""
"13","400","Brayan Alejandro PEREZ HEREDIA","Yamaha R15","Tolima","CLUB PISTON RACING","Yamaha","1:37.452","5","10.054","3.345",""
"14","854","Maicol Andres CRISTANCHO VEGA","Yamaha R15","Cesar","K-LIMA RACING","Yamaha","1:37.464","5","10.066","0.012",""
"15","361","Wilmer Yecid BUSTOS MAHECHA","Yamaha R15","Bogotá D.C.","Racing pilots Academy","Yamaha","1:39.400","5","12.002","1.936",""
"16","488","Juan Camilo BUSTOS PINILLA","Yamaha R15","Tolima","CLUB PISTON RACING","Yamaha","1:39.600","3","12.202","0.200",""
"17","499","Javier Alonso NOVOA MOLINA","Yamaha R15","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Yamaha","1:42.938","3","15.540","3.338",""
"18","908","Giovanny Andres GARZÓN OSORIO","Yamaha R15","TOLIMA","","","","0","","",""
