"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","696-E","Jhon Deiby Escobar","AX 100 Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Suzuki","52.072","7","","",""
"2","729","Oscar Javier IBARRA ROJAS","AX 100 Inicio","Huila","CLUB MOTO JAPONESA","Suzuki","53.260","2","1.188","1.188",""
"3","803-E","Marco Gutiérrez Chávez","AX 100 Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Suzuki","53.816","9","1.744","0.556",""
"4","428","DANIEL QUINTANA CASTRO","AX 100 Inicio","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","53.860","3","1.788","0.044",""
"5","388","Daniel Esteban López Vallejos","AX 100 Inicio","Nariño","MOTOCLUB PROVIDENCIA","Suzuki","54.649","5","2.577","0.789",""
"6","239","Esteban DORADO SOLARTE","AX 100 Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Suzuki","54.739","2","2.667","0.090",""
"7","732","FREDDY SANTIAGO MAYA OTAYA","AX 100 Inicio","Nariño","CLUB DEPORTIVO BUFALO XTREM","Suzuki","54.741","4","2.669","0.002",""
"8","910-E","GERMAN ANDRES ARCOS VITERI","AX 100 Inicio","Nariño","CLUB DEPORTIVO LOS CAFETEROS","Yamaha","55.028","4","2.956","0.287",""
"9","114","GIOVANY ANDRES ARTEAGA MONCAYO","AX 100 Inicio","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","Suzuki","55.049","9","2.977","0.021",""
"10","242","Benjamín Mayoral Toledo","AX 100 Inicio","Putumayo","TEAM RACING MOCOA","Suzuki","55.147","5","3.075","0.098",""
"11","265-E","Juan Carlos plazas lis","AX 100 Inicio","Huila","CLUB MOTO JAPONESA","Suzuki","55.711","9","3.639","0.564",""
"12","77","David Estevan Calvache González","AX 100 Inicio","Nariño","CLUB JOSMARC MOTOS RACING","Suzuki","56.233","6","4.161","0.522",""
"13","795","Jhon fredi","AX 100 Inicio","Putumayo","Club Putumayo","Suzuki","57.623","5","5.551","1.390",""
"14","764-E","Wilson villaquiran hidago","AX 100 Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Suzuki","59.520","2","7.448","1.897",""
