"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","680","Juan Esteban RIVERA MARIN","115 cc Inicio","Santander","CLUB FLORIDA EXTREMO","Yamaha","1:09.603","3","","",""
"2","703-E","Jean Carlos aranda González","115 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:09.731","5","0.128","0.128",""
"3","631","Johan GOMEZ PEREZ","115 cc Inicio","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","1:11.122","2","1.519","1.391",""
"4","410","Simon JULIO MONTOYA","115 cc Inicio","Antioquia","CLUB GRILLOS RACING","Yamaha","1:11.122","4","1.519","",""
"5","688","Jhon alexander claro carrillo","115 cc Inicio","Cesar","K-LIMA RACING","Yamaha","1:11.124","2","1.521","0.002",""
"6","842","Alexander DUQUE PATIÑO","115 cc Inicio","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:11.264","5","1.661","0.140",""
"7","480","DAVID SANTIAGO QUEZADA SOTO","115 cc Inicio","Quindío","CLUB MONSTER GARAGE","Yamaha","1:11.630","2","2.027","0.366",""
"8","382","Julián Andrés guío Arévalo","115 cc Inicio","Cesar","K-LIMA RACING","Yamaha","1:11.807","4","2.204","0.177",""
"9","72","JOAN SEBASTIAN CASTILLO URREA","115 cc Inicio","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:11.990","2","2.387","0.183",""
"10","286","Pedro Reynell BARAJAS BARRIOS","115 cc Inicio","Tolima","CLUB PISTON RACING","Yamaha","1:12.182","4","2.579","0.192",""
"11","894","Educardo RIOJAS MORENO","115 cc Inicio","Tolima","CLUB PISTON RACING","Yamaha","1:12.187","1","2.584","0.005",""
"12","732","FREDDY SANTIAGO MAYA OTAYA","115 cc Inicio","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:12.233","4","2.630","0.046",""
"13","354","Ivan David Olaya Caseres","115 cc Inicio","Tolima","CLUB COLOYA RACING TEAM","Yamaha","1:12.245","1","2.642","0.012",""
"14","755","Didier Esneider ALBORNOZ IBARGUEN","115 cc Inicio","Quindío","CLUB MONSTER GARAGE","Yamaha","1:12.314","4","2.711","0.069",""
"15","115","William PEÑA CARDONA","115 cc Inicio","Antioquia","CLUB GRILLOS RACING","Yamaha","1:12.339","2","2.736","0.025",""
"16","364","Manuel Alejandro MARIN TOVAR","115 cc Inicio","Meta","CLUB LLANEROS RANCING","Yamaha","1:12.552","5","2.949","0.213",""
"17","692","Deibi Alexander naranjo vallejo","115 cc Inicio","Quindío","CLUB DISCOVER QUINDIO","Yamaha","1:13.108","3","3.505","0.556",""
"18","159","Juan David Olave Bolaños","115 cc Inicio","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:13.283","1","3.680","0.175",""
"19","209","Elian Smith ULLOA TRIANA","115 cc Inicio","Tolima","CLUB PISTON RACING","Yamaha","1:13.475","2","3.872","0.192",""
"20","453","Alexander MARIN YEPES","115 cc Inicio","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","1:13.610","3","4.007","0.135",""
"21","524","Jhon Edwar BALLESTEROS CARDONA","115 cc Inicio","Quindío","CLUB DISCOVER QUINDIO","Yamaha","1:13.989","3","4.386","0.379",""
"22","157","Sebastian Fabricio ROMERO TRUJILLO","115 cc Inicio","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:14.123","2","4.520","0.134",""
"23","213","Mario Alejandro GARCIA GARCIA","115 cc Inicio","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:14.141","3","4.538","0.018",""
"24","325","Brayan Sneider GUTIERREZ CASTAÑEDA","115 cc Inicio","Cesar","K-LIMA RACING","Yamaha","1:14.195","1","4.592","0.054",""
"25","942","ACERCARSE A SECRETARIA","","","","","1:14.217","1","4.614","0.022",""
"26","724","David Andres RAMIREZ","115 cc Inicio","Quindío","CLUB MONSTER GARAGE","Yamaha","1:14.314","4","4.711","0.097",""
"27","104","JUAN CARLOS GIRALDO RAMIREZ","115 cc Inicio","Quindío","CLUB MONSTER GARAGE","Yamaha","1:14.458","3","4.855","0.144",""
"28","148","OSCAR ADRIAN SUTA MONTAÑEZ","115 cc Inicio","Meta","SUTA RACING CLUB","Yamaha","1:15.542","1","5.939","1.084",""
"29","153","Jonathan Andres SORZA HERNANDEZ","115 cc Inicio","Cundinamarca","MOTO CLUB MRACING LA VEGA","Yamaha","1:15.771","3","6.168","0.229",""
"30","705","Daniel Fernando Ruiz Garcia","115 cc Inicio","Quindío","CLUB MONSTER GARAGE","Yamaha","1:16.007","3","6.404","0.236",""
"31","786","johan daniel barajas barrios","115 cc Inicio","Cesar","K-LIMA RACING","Yamaha","1:16.134","2","6.531","0.127",""
"32","634","Jhonatan stiven Navas Navas","115 cc Inicio","Tolima","CLUB PISTON RACING","Yamaha","1:18.700","1","9.097","2.566",""
