"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","243","David Fernando BURBANO GOMEZ","15","Supermoto","Husqvarna","Putumayo","TEAM RACING MOCOA","","45.235","12",""
"2","155-E","Juan Felipe HERNANDEZ ALZATE","13","Supermoto","Yamaha","Meta","CLUB LLANEROS RANCING","13.660","45.029","12",""
"3","207","David Alejandro FORERO ZAPATA","11","Supermoto","Husqvarna","Putumayo","TEAM RACING MOCOA","19.152","47.044","12",""
"4","921","Giomar Nicolas Ruiz Burbano","10","Supermoto","KTM","Nariño","MOTOCLUB CONSACA","21.394","45.901","12",""
"5","98","Mateo CASTELLANOS CARVAJAL","9","Supermoto","Yamaha","Caldas","CLUB JHC RACING","23.754","45.248","12",""
"6","227","Rigo German SALAZAR CERON","8","Supermoto","Husqvarna","Quindío","CLUB MONSTER GARAGE","25.388","45.256","12",""
"7","89","Andrés pantoja","7","Supermoto","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","36.381","46.852","12",""
"8","248","JUAN DAVID ORTEGA PATIÑO","6","Supermoto","KTM","Nariño","MOTOCLUB TANGUA RACING","40.874","48.402","12",""
"9","158","Angel Alberto SALOMON ORTIZ","5","Supermoto","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","40.962","48.846","12",""
"10","346-E","Josue Daniel Bastidas Moncayo","4","Supermoto","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","1 Vuelta","50.212","11",""
"11","622","Carlos David Paz Agreda","3","Supermoto","KTM","Nariño","MOTOCLUB CONSACA","1 Vuelta","49.049","11",""
"12","114","GIOVANY ANDRES ARTEAGA MONCAYO","2","Supermoto","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","1 Vuelta","51.247","11",""
"13","991-E","LUIS AEXANDER FERNANDEZ CASTILLO","1","Supermoto","KTM","Nariño","CLUB MOTEROS RIDERS LA UNION","1 Vuelta","53.399","11",""
"14","88","Gerardo camilo TORRES","1","Supermoto","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","2 Vueltas","49.217","10",""
"NT","831-E","JHON FREDY BURBANO PINZA","0","Supermoto","Yamaha","Nariño","TEAM MOTOCLUB EL TAMBO","NT","49.847","5",""
"NT","68","Alvaro Javier PEREZ BERNAL","0","Supermoto","Husqvarna","Quindío","CLUB DISCOVER QUINDIO","NT","51.442","3",""
"NE","41","Nicolas DUQUE PATIÑO","0","Supermoto","","Meta","SUTA RACING CLUB","NE","","",""
"NE","328-E","YENER ARVEY MUÑOZ ORTIZ","0","Supermoto","KTM","Nariño","CLUB ISLEÑOS TUMACO","NE","","",""
