"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","272","Alfonso Gustavo LINARES OCHOA","Super sport","Bogotá D.C.","Todo terreno track","Ducati","1:10.229","4","","",""
"2","7","Luis Carlos III SARMIENTO CARVAJAL","Super sport","Bogotá D.C.","Xspeed Racing","KTM","1:11.106","4","0.877","0.877",""
"3","49","Andres Felipe RONCERIA SILVA","Super sport","Bogotá D.C.","Todo terreno track","GasGas","1:13.398","4","3.169","2.292",""
"4","366","Santiago Arbelaez Luna","Super sport","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Kawasaki","1:13.694","1","3.465","0.296",""
"5","52","Edgar Andres JARAMILLO GOMEZ","Super sport","Antioquia","CLUB MOTOCROSS YARUMAL","Yamaha","1:13.762","2","3.533","0.068",""
"6","304","Pedro Alejandro GALINDO AMAYA","Super sport","Bogotá D.C.","Racing pilots Academy","Ducati","1:13.762","4","3.533","",""
"7","728","Luis Felipe ARREDONDO GIRALDO","Super sport","Antioquia","CLUB LOS PASKINES","Yamaha","1:13.997","3","3.768","0.235",""
"8","342","CRISTIAN HENAO","Super sport","","","","1:14.363","2","4.134","0.366",""
"9","909","Javier ARIAS CASTAÑEDA","Super sport","Antioquia","CLUB LOS PASKINES","Yamaha","1:14.984","3","4.755","0.621",""
"10","810","Gustavo Adolfo FERRO CORCHUELO","Super sport","Bogotá D.C.","Xspeed Racing","Ducati","1:15.056","2","4.827","0.072",""
"11","813","Juan Felipe SIERRA OSORIO","Super sport","Cundinamarca","CLUB GIRARDOT RACING","Unite Motor","1:15.095","3","4.866","0.039",""
"12","69","Marco Polo CANO","Super sport","","","","1:15.557","2","5.328","0.462",""
"13","245","Johann Andres SUSA VALENCIA","Super sport","Bogotá D.C.","Racing pilots Academy","Bajaj","1:15.892","5","5.663","0.335",""
"14","208","Angel Yesid IMBACHI ÑAÑEZ","Super sport","Bogotá D.C.","Todo terreno track","Kawasaki","1:16.084","2","5.855","0.192",""
"15","94","Deiby Jair CORRALES RIOS","Super sport","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:17.115","2","6.886","1.031",""
"16","590","Giovanni Andres AREVALO SALCEDO","Super sport","Bogotá D.C.","Todo terreno track","Aprilia","","0","","",""
