"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","15","200 cc 2T","Yamaha","Caldas","CLUB JHC RACING","","46.659","10",""
"2","41","Nicolas DUQUE PATIÑO","13","200 cc 2T","","Meta","SUTA RACING CLUB","1.005","47.517","10",""
"3","88","Gerardo camilo TORRES","11","200 cc 2T","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","1.889","47.026","10",""
"4","921","Giomar Nicolas Ruiz Burbano","10","200 cc 2T","Yamaha","Nariño","MOTOCLUB CONSACA","3.331","47.960","10",""
"5","227","Rigo German SALAZAR CERON","9","200 cc 2T","Yamaha","Quindío","CLUB MONSTER GARAGE","4.553","47.873","10",""
"6","155-E","Juan Felipe HERNANDEZ ALZATE","8","200 cc 2T","Yamaha","Meta","CLUB LLANEROS RANCING","13.321","48.424","10",""
"7","96","Oscar Santiago MUÑOZ CARVAJAL","7","200 cc 2T","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","19.210","49.170","10",""
"8","818-E","Jorge Andres Gomez Eraso","6","200 cc 2T","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","19.602","48.956","10",""
"9","988","JUAN CARLOS LOPEZ VIDAL","5","200 cc 2T","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","19.776","49.250","10",""
"10","240-E","Luis Jaime","4","200 cc 2T","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","25.817","48.676","10",""
"11","207","David Alejandro FORERO ZAPATA","3","200 cc 2T","Yamaha","Putumayo","TEAM RACING MOCOA","1 Vuelta","50.718","9",""
"12","846","Yamid Sebastian LOPEZ VALLEJOS","2","200 cc 2T","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","2 Vueltas","50.357","8",""
"NT","434","EDGAR FELIPE ARTUNDUAGA CRUZ","0","200 cc 2T","Yamaha","Huila","CLUB MOTO JAPONESA","NT","50.455","7",""
"NT","243","David Fernando BURBANO GOMEZ","0","200 cc 2T","Yamaha","Putumayo","TEAM RACING MOCOA","NT","49.099","3",""
"NT","138-E","Nixon Yamit GARCIA DIAZ","0","200 cc 2T","Yamaha","Nariño","TEAM MOTOCLUB EL TAMBO","NT","50.954","2",""
"NE","158","Angel Alberto SALOMON ORTIZ","0","200 cc 2T","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","NE","","",""
"NE","343","Juan Pablo BURBANO GOMEZ","0","200 cc 2T","Yamaha","Putumayo","TEAM RACING MOCOA","NE","","",""
