"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","200 cc 2T","Caldas","CLUB JHC RACING","Yamaha","46.114","2","","",""
"2","243","David Fernando BURBANO GOMEZ","200 cc 2T","Putumayo","TEAM RACING MOCOA","Yamaha","46.223","3","0.109","0.109",""
"3","88","Gerardo camilo TORRES","200 cc 2T","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","46.325","2","0.211","0.102",""
"4","227","Rigo German SALAZAR CERON","200 cc 2T","Quindío","CLUB MONSTER GARAGE","Yamaha","46.952","4","0.838","0.627",""
"5","155","Juan Felipe HERNANDEZ ALZATE","200 cc 2T","Meta","CLUB LLANEROS RANCING","Yamaha","47.013","6","0.899","0.061",""
"6","207","David Alejandro FORERO ZAPATA","200 cc 2T","Putumayo","TEAM RACING MOCOA","Yamaha","47.295","2","1.181","0.282",""
"7","324-E","andres Felipe HERNANDEZ SORIANO","200 cc 2T","Huila","CLUB MOTO JAPONESA","Yamaha","47.653","7","1.539","0.358",""
"8","394-E","Luis Jaime","200 cc 2T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","47.861","3","1.747","0.208",""
"9","137","Alvaro Javier PLAZAS GONZALEZ","200 cc 2T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","47.910","10","1.796","0.049",""
"10","96","Oscar Santiago MUÑOZ CARVAJAL","200 cc 2T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","48.279","8","2.165","0.369",""
"11","291","Juan David RIVERA PARRA","200 cc 2T","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","48.290","2","2.176","0.011",""
"12","988","JUAN CARLOS LOPEZ VIDAL","200 cc 2T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","48.377","10","2.263","0.087",""
"13","818","Jorge Andres Gomez Eraso","200 cc 2T","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","48.933","11","2.819","0.556",""
"14","158","Angel Alberto SALOMON ORTIZ","200 cc 2T","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","51.461","1","5.347","2.528",""
"15","68","Alvaro Javier PEREZ BERNAL","200 cc 2T","Quindío","CLUB DISCOVER QUINDIO","Yamaha","52.369","2","6.255","0.908",""
"16","977-E","Jeisson David Lamilla","200 cc 2T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","53.548","3","7.434","1.179",""
"17","258","EDWIN ALEXIS SANCHEZ MORA","200 cc 2T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","","0","","",""
"18","846","Yamid Sebastian LOPEZ VALLEJOS","200 cc 2T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","","0","","",""
