"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","15","200 cc 2T","Yamaha","Caldas","CLUB JHC RACING","","46.200","10",""
"2","227","Rigo German SALAZAR CERON","13","200 cc 2T","Yamaha","Quindío","CLUB MONSTER GARAGE","17.626","47.176","10",""
"3","155","Juan Felipe HERNANDEZ ALZATE","11","200 cc 2T","Yamaha","Meta","CLUB LLANEROS RANCING","19.177","46.608","10",""
"4","137","Alvaro Javier PLAZAS GONZALEZ","10","200 cc 2T","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","27.224","47.185","10","ROBO DE SALIDA"
"5","818","Jorge Andres Gomez Eraso","9","200 cc 2T","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","35.141","47.626","10","ROBO DE SALIDA"
"6","988","JUAN CARLOS LOPEZ VIDAL","8","200 cc 2T","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1 Vuelta","48.928","9","ROBO DE SALIDA"
"NT","96","Oscar Santiago MUÑOZ CARVAJAL","0","200 cc 2T","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","47.806","9",""
"NT","88","Gerardo camilo TORRES","0","200 cc 2T","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","NT","48.064","7",""
"NT","324-E","andres Felipe HERNANDEZ SORIANO","0","200 cc 2T","Yamaha","Huila","CLUB MOTO JAPONESA","NT","","","ROBO DE SALIDA"
"NT","207","David Alejandro FORERO ZAPATA","0","200 cc 2T","Yamaha","Putumayo","TEAM RACING MOCOA","NT","","",""
"NT","291","Juan David RIVERA PARRA","0","200 cc 2T","Yamaha","Nariño","CLUB MOTEROS RIDERS LA UNION","NT","","",""
"NT","158","Angel Alberto SALOMON ORTIZ","0","200 cc 2T","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","NT","","",""
"NT","68","Alvaro Javier PEREZ BERNAL","0","200 cc 2T","Yamaha","Quindío","CLUB DISCOVER QUINDIO","NT","","",""
"NT","977-E","Jeisson David Lamilla","0","200 cc 2T","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","","",""
"EX","243","David Fernando BURBANO GOMEZ","0","200 cc 2T","Yamaha","Putumayo","TEAM RACING MOCOA","EX","46.908","10","CAMBIO DE MOTO"
"EX","394-E","Luis Jaime","0","200 cc 2T","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","EX","47.363","10","CAMBIO DE MOTO"
