"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","227","Rigo German SALAZAR CERON","115 cc Master","Quindío","CLUB MONSTER GARAGE","Yamaha","1:25.995","5","","",""
"2","710","Alexander DIAZ CASTAÑO","115 cc Master","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:26.096","4","0.101","0.101",""
"3","714","Oscar Alejandro RUIZ RESTREPO","115 cc Master","Antioquia","CLUB LOS PASKINES","Yamaha","1:26.646","1","0.651","0.550",""
"4","133","Sergio Leon RESTREPO MEJIA","115 cc Master","Antioquia","CLUB LOS PASKINES","Yamaha","1:26.758","3","0.763","0.112",""
"5","119","Cesar Alfonso TELLEZ OCAMPO","","SANTANDER","","","1:26.780","3","0.785","0.022",""
"6","888","Jorge Yair BERNAL SUAREZ","115 cc Master","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:27.117","1","1.122","0.337",""
"7","204","Andres Felipe LONDOÑO TRUJILLO","115 cc Master","Antioquia","CLUB GRILLOS RACING","Yamaha","1:27.972","1","1.977","0.855",""
"8","329","Daniel Alberto PULGARIN RESTREPO","115 cc Master","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:28.147","2","2.152","0.175",""
"9","578","Raul Andres ARTUNDUAGA ROJAS","","QUINDIO","","","1:28.221","4","2.226","0.074",""
"10","178","Carlos Andres CARDOZO MILLAN","115 cc Master","Tolima","CLUB PISTON RACING","Yamaha","1:28.243","4","2.248","0.022",""
"11","616","Leonardo BARRERA SANTA","115 cc Master","Meta","CLUB LLANEROS RANCING","Yamaha","1:30.449","3","4.454","2.206",""
"12","765","Juan Camilo RUIZ","115 cc Master","Antioquia","CLUB LOS PASKINES","Yamaha","1:30.462","2","4.467","0.013",""
"13","106","Jose Wilson  SAAVEDRA BARRERA","","ANTIOQUIA","","","1:31.064","2","5.069","0.602",""
"14","78","Hugo Alexander TOVAR OSORIO","115 cc Master","Caldas","CLUB RACING PERFORMANCE","Yamaha","1:31.322","4","5.327","0.258",""
"15","286","Pedro Reynell BARAJAS BARRIOS","115 cc Master","Tolima","CLUB PISTON RACING","Yamaha","1:31.384","2","5.389","0.062",""
"16","83","Guillermo Augusto DIAZ","115 cc Master","Quindío","CLUB MONSTER GARAGE","Yamaha","1:31.790","1","5.795","0.406",""
"17","27","Lisandro VASQUEZ RAMIREZ","115 cc Master","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:32.243","2","6.248","0.453",""
"18","169","Hoover Alberto ORTIZ OSORIO","115 cc Master","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","1:33.230","1","7.235","0.987",""
"19","460","Alvaro TAMAYO MEDINA","115 cc Master","Tolima","CLUB MOTORBIKE","Yamaha","1:34.752","4","8.757","1.522",""
"20","722","Edwin JARAMILLO GALLEGO","115 cc Master","Quindío","CLUB MONSTER GARAGE","Yamaha","2:57.138","1","1:31.143","1:22.386",""
"21","790","Juan Gerardo ALBARAN HINCAPIE","115 cc Master","Antioquia","CLUB LOS PASKINES","Yamaha","","0","","",""
"22","769","Juan Carlos BUILES MARIN","115 cc Master","Antioquia","CLUB GRILLOS RACING","Yamaha","","0","","",""
"23","928","Luis Carlos POLANCO GAMBOA","115 cc Master","Huila","CLUB MOTO JAPONESA","Yamaha","","0","","",""
