"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","272","Alfonso Gustavo LINARES OCHOA","15","Super bike","","56.743","","Bogotá D.C.","Todo terreno track","8"
"2","12","Tomas PUERTA VASQUEZ","13","Super bike","7.349","57.989","","Antioquia","CLUB LOS PASKINES","8"
"3","189","Luis Felipe PALOMINO MEJIA","11","Super bike","7.833","58.074","","Tolima","CLUB PISTON RACING","8"
"4","931","Cesar Augusto VALDIVIESO VARGAS","10","Super bike","7.880","58.080","","Cundinamarca","CLUB GIRARDOT RACING","8"
"5","716","Jesus Aurelio BURGOS TORRES","9","Super bike","13.675","58.491","","Bogotá D.C.","Todo terreno track","8"
"6","40","Santiago ALZATE GOMEZ","8","Super bike","14.115","59.099","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"7","97","Edinson Esteban RONCERIA SILVA","7","Super bike","25.077","59.402","","Bogotá D.C.","Todo terreno track","8"
"8","11","Juan Esteban RAMIREZ GOMEZ","6","Super bike","26.060","1:00.139","","Antioquia","CLUB MOTOCROSS YARUMAL","8"
"9","771","Cristhian Camilo CASTRILLON RAMIREZ","5","Super bike","37.299","1:01.177","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"10","62","Carlos Emanuel PAZ MORENO","4","Super bike","37.522","1:01.621","","Nariño","CLUB JOSMARC MOTOS RACING","8"
"11","984","Jhon Javier MONSALVE MENDOZA","3","Super bike","37.667","1:01.321","","Tolima","CLUB PISTON RACING","8"
"12","909","Javier ARIAS CASTAÑEDA","2","Super bike","38.046","1:01.294","","Antioquia","CLUB LOS PASKINES","8"
"13","87","gerson caleb serrano daza","1","Super bike","40.928","1:01.808","","Bogotá D.C.","Todo terreno track","8"
"NT","73","Richard Edward MENJURA MACIAS","0","Super bike","NT","58.016","","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","5"
"NT","869","Mario Andres GONZALEZ GOMEZ","0","Super bike","NT","","","Valle del Cauca","Team Potenza",""
"NT","496","Nicolas BERMUDEZ CASTILLO","0","Super bike","NT","","","Bogotá D.C.","Racing pilots Academy",""
"NT","13","Angelo Mauricio BONILLA ZAPATA","0","Super bike","NT","","","Bogotá D.C.","Racing pilots Academy",""
"NT","728","Luis Felipe ARREDONDO GIRALDO","0","Super bike","NT","","","Antioquia","CLUB LOS PASKINES",""
"NT","248","JUAN DAVID ORTEGA PATIÑO","0","Super bike","NT","","","Nariño","MOTOCLUB TANGUA RACING",""
"NT","630","Herman Andres MANTILLA NUÑEZ","0","Super bike","NT","","","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO",""
"NT","779","Rafael Andrés Rojas Ibáñez","0","Super bike","NT","","","Bogotá D.C.","Todo terreno track",""
