"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","207","David Alejandro FORERO ZAPATA","15","115 cc Elite","Yamaha","Putumayo","TEAM RACING MOCOA","","49.550","10",""
"2","88","Gerardo camilo TORRES","13","115 cc Elite","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","2.326","49.716","10",""
"3","137","Alvaro Javier PLAZAS GONZALEZ","11","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","3.254","49.844","10",""
"4","726","Nicolas MILLAN MURILLO","10","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","3.393","49.774","10",""
"5","98","Mateo CASTELLANOS CARVAJAL","9","115 cc Elite","Yamaha","Caldas","CLUB JHC RACING","4.162","49.288","10",""
"6","434","EDGAR FELIPE ARTUNDUAGA CRUZ","8","115 cc Elite","Yamaha","Huila","CLUB MOTO JAPONESA","4.819","49.696","10",""
"7","96","Oscar Santiago MUÑOZ CARVAJAL","7","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","12.992","50.744","10",""
"8","818","Jorge Andres Gomez Eraso","6","115 cc Elite","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","23.740","50.293","10","ROBO DE SALIDA"
"9","324-E","andres Felipe HERNANDEZ SORIANO","5","115 cc Elite","Yamaha","Huila","CLUB MOTO JAPONESA","26.226","50.134","10","ROBO DE SALIDA"
"10","349","Samuel Fernando rodriguez castro","4","115 cc Elite","Yamaha","Putumayo","motoclub mocoa","29.375","51.825","10",""
"11","39-E","Julian David CONCHA VALENCIA","3","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","29.538","52.042","10",""
"12","243","David Fernando BURBANO GOMEZ","2","115 cc Elite","Yamaha","Putumayo","TEAM RACING MOCOA","29.577","50.738","10",""
"13","312","Eder Sebastian JARAMILLO YARA","1","115 cc Elite","Yamaha","Tolima","CLUB PISTON RACING","30.036","51.405","10",""
"14","681","Andres Felipe RESTREPO CASTRILLON","1","115 cc Elite","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","31.026","51.607","10",""
"15","921","Giomar Nicolas Ruiz Burbano","1","115 cc Elite","Yamaha","Nariño","MOTOCLUB CONSACA","36.196","51.625","10","ROBO DE SALIDA"
"16","619-E","Juan Felipe LAVERDE MUÑOZ","0","115 cc Elite","Yamaha","Quindío","CLUB MONSTER GARAGE","36.276","52.690","10",""
"17","846","Yamid Sebastian LOPEZ VALLEJOS","0","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1:08.249","50.639","10","ROBO DE SALIDA"
"18","394-E","Luis Jaime","0","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","5 Vueltas","52.508","5",""
"NT","291","Juan David RIVERA PARRA","0","115 cc Elite","Yamaha","Nariño","CLUB MOTEROS RIDERS LA UNION","NT","51.911","8","ROBO DE SALIDA"
"NT","988","JUAN CARLOS LOPEZ VIDAL","0","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","51.430","7",""
"NT","155","Juan Felipe HERNANDEZ ALZATE","0","115 cc Elite","Yamaha","Meta","CLUB LLANEROS RANCING","NT","50.042","4",""
"NT","227","Rigo German SALAZAR CERON","0","115 cc Elite","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","1:27.943","1",""
"NT","977-E","Jeisson David Lamilla","0","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","","",""
"NT","710","Alexander DIAZ CASTAÑO","0","115 cc Elite","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","NT","","",""
"NT","258","EDWIN ALEXIS SANCHEZ MORA","0","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","","",""
"EX","162","Naren David Concha Garces","0","115 cc Elite","Yamaha","Cauca","","EX","49.987","10","DESACATO AL DIR. CRR."
