"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","115 cc Elite","Caldas","CLUB JHC RACING","Yamaha","49.364","3","","",""
"2","207","David Alejandro FORERO ZAPATA","115 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","49.813","6","0.449","0.449",""
"3","88","Gerardo camilo TORRES","115 cc Elite","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","49.832","3","0.468","0.019",""
"4","137","Alvaro Javier PLAZAS GONZALEZ","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","49.868","5","0.504","0.036",""
"5","726","Nicolas MILLAN MURILLO","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","49.906","2","0.542","0.038",""
"6","434","EDGAR FELIPE ARTUNDUAGA CRUZ","115 cc Elite","Huila","CLUB MOTO JAPONESA","Yamaha","49.929","4","0.565","0.023",""
"7","nn","Naren David Concha Garces","115 cc Elite","Cauca","","Yamaha","50.073","10","0.709","0.144",""
"8","227","Rigo German SALAZAR CERON","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","50.344","3","0.980","0.271",""
"9","96","Oscar Santiago MUÑOZ CARVAJAL","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.396","7","1.032","0.052",""
"10","977-E","Jeisson David Lamilla","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.467","9","1.103","0.071",""
"11","243","David Fernando BURBANO GOMEZ","115 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","50.570","3","1.206","0.103",""
"12","988","JUAN CARLOS LOPEZ VIDAL","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.591","6","1.227","0.021",""
"13","818","Jorge Andres Gomez Eraso","115 cc Elite","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","50.626","3","1.262","0.035",""
"14","291","Juan David RIVERA PARRA","115 cc Elite","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","50.628","10","1.264","0.002",""
"15","394-E","Luis Jaime","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.769","3","1.405","0.141",""
"16","155","Juan Felipe HERNANDEZ ALZATE","115 cc Elite","Meta","CLUB LLANEROS RANCING","Yamaha","51.028","2","1.664","0.259",""
"17","312","Eder Sebastian JARAMILLO YARA","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha","51.182","8","1.818","0.154",""
"18","846","Yamid Sebastian LOPEZ VALLEJOS","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","51.289","6","1.925","0.107",""
"19","324-E","andres Felipe HERNANDEZ SORIANO","115 cc Elite","Huila","CLUB MOTO JAPONESA","Yamaha","51.299","3","1.935","0.010",""
"20","921","Giomar Nicolas Ruiz Burbano","115 cc Elite","Nariño","MOTOCLUB CONSACA","Yamaha","51.768","6","2.404","0.469",""
"21","710","Alexander DIAZ CASTAÑO","115 cc Elite","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","51.797","2","2.433","0.029",""
"22","39-E","Julian David CONCHA VALENCIA","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","52.061","5","2.697","0.264",""
"23","681","Andres Felipe RESTREPO CASTRILLON","115 cc Elite","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","52.466","8","3.102","0.405",""
"24","349","Samuel Fernando rodriguez castro","115 cc Elite","Putumayo","motoclub mocoa","Yamaha","52.569","5","3.205","0.103",""
"25","258","EDWIN ALEXIS SANCHEZ MORA","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","52.583","2","3.219","0.014",""
"26","619-E","Juan Felipe LAVERDE MUÑOZ","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","53.354","6","3.990","0.771",""
