"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","243","David Fernando BURBANO GOMEZ","15","Supermoto","Husqvarna","Putumayo","TEAM RACING MOCOA","","1:09.288","12",""
"2","227","Rigo German SALAZAR CERON","13","Supermoto","Husqvarna","Quindío","CLUB MONSTER GARAGE","10.681","1:09.470","12",""
"3","921","Giomar Nicolas Ruiz Burbano","11","Supermoto","Yamaha","Nariño","MOTOCLUB CONSACA","18.139","1:13.426","12",""
"4","829-E","Juan David Burbano Ramos","10","Supermoto","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","28.355","1:14.027","12",""
"5","158","Angel Alberto SALOMON ORTIZ","9","Supermoto","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","30.811","1:14.646","12",""
"6","27","Lisandro VASQUEZ RAMIREZ","8","Supermoto","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","1:22.748","1:17.227","12",""
"7","914","Santiago Andres Guerra Ramos","7","Supermoto","KTM","Nariño","CLUB JOSMARC MOTOS RACING","1 Vuelta","1:19.405","11",""
"8","68","Alvaro Javier PEREZ BERNAL","6","Supermoto","Yamaha","Quindío","CLUB DISCOVER QUINDIO","1 Vuelta","1:19.133","11",""
"9","207","David Alejandro FORERO ZAPATA","5","Supermoto","Husqvarna","Putumayo","TEAM RACING MOCOA","2 Vueltas","1:12.849","10",""
"NT","155","Juan Felipe HERNANDEZ ALZATE","0","Supermoto","Yamaha","Meta","CLUB LLANEROS RANCING","NT","1:12.036","7",""
