"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","115 cc Elite","15","","59.408","Yamaha","Caldas","CLUB JHC RACING","10",""
"2","88","Gerardo camilo TORRES","115 cc Elite","13","3.448","59.507","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","10",""
"3","726","Nicolas MILLAN MURILLO","115 cc Elite","11","7.349","1:00.172","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10",""
"4","E-745","Jeronimo HENAO MARIN","115 cc Elite","10","9.732","1:00.531","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10",""
"5","424","Juan Manuel FORERO BANDERA","115 cc Elite","9","24.028","1:01.297","Yamaha","Tolima","CLUB PISTON RACING","10",""
"6","744","Roberto Jose Ruiz Ayala","115 cc Elite","8","27.146","1:01.714","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","10",""
"7","210","Jhon Mario GARCÍA CASTRO","115 cc Elite","7","27.167","1:01.857","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","10",""
"8","235","Juan Sebastián Sánchez Aguirre","115 cc Elite","6","29.310","1:02.379","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","10",""
"9","988","JUAN CARLOS LOPEZ VIDAL","115 cc Elite","5","29.399","1:02.242","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10",""
"10","681","Andres Felipe RESTREPO CASTRILLON","115 cc Elite","4","37.401","1:02.190","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","10",""
"11","312","Eder Sebastian JARAMILLO YARA","115 cc Elite","3","37.681","1:03.317","Yamaha","Tolima","CLUB PISTON RACING","10",""
"12","710","Alexander DIAZ CASTAÑO","115 cc Elite","2","44.057","1:03.415","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","10",""
"13","343","Juan Pablo BURBANO GOMEZ","115 cc Elite","1","45.897","1:04.002","Yamaha","Putumayo","TEAM RACING MOCOA","10",""
"14","243","David Fernando BURBANO GOMEZ","115 cc Elite","1","2 Vueltas","1:04.320","Yamaha","Putumayo","TEAM RACING MOCOA","8",""
"15","921","Giomar Nicolas Ruiz Burbano","115 cc Elite","1","2 Vueltas","1:02.918","Yamaha","Nariño","MOTOCLUB CONSACA","8",""
"NT","846","Yamid Sebastian LOPEZ VALLEJOS","115 cc Elite","0","NT","1:03.248","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","7",""
"NT","614","David Alejandro Roman Ramirez","115 cc Elite","0","NT","1:06.557","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","7",""
"NT","721","Juan Andres RODRIGUEZ ARIAS","115 cc Elite","0","NT","1:03.034","Yamaha","Caldas","CLUB MX PRO","6",""
"NT","166","Johan Camilo GIRALDO RAMIREZ","115 cc Elite","0","NT","1:03.106","Yamaha","Quindío","CLUB MONSTER GARAGE","4",""
"NT","207","David Alejandro FORERO ZAPATA","115 cc Elite","0","NT","1:02.488","Yamaha","Putumayo","TEAM RACING MOCOA","3",""
"NT","227","Rigo German SALAZAR CERON","115 cc Elite","0","NT","","","Quindío","CLUB MONSTER GARAGE","1",""
"NT","E-522","Bryan MORALES GARCIA","115 cc Elite","0","NT","","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1",""
"NT","419","Diego Fernando RODAS MARIN","115 cc Elite","0","NT","","Yamaha","Quindío","CLUB MONSTER GARAGE","1",""
"EX","887","Cristian David palacio jaramillo","115 cc Elite","0","EX","1:01.564","Yamaha","Quindío","CLUB MONSTER GARAGE","10","EVASIÓN ANTIODOPING"
