"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","227","Rigo German SALAZAR CERON","15","SM expertos - Metzeler","","54.997","","Quindío","CLUB MONSTER GARAGE","8"
"2","28","Jose Miguel GONZALEZ HERNANDEZ","13","SM expertos - Metzeler","3.689","54.972","","Quindío","CLUB MONSTER GARAGE","8"
"3","98","Mateo CASTELLANOS CARVAJAL","11","SM expertos - Metzeler","3.690","55.223","","Caldas","CLUB JHC RACING","8"
"4","243","David Fernando BURBANO GOMEZ","10","SM expertos - Metzeler","4.171","55.121","","Putumayo","TEAM RACING MOCOA","8"
"5","726","Nicolas MILLAN MURILLO","9","SM expertos - Metzeler","4.395","55.311","","Cauca","CLUB CORONA CLUB XTREME PARK","8"
"6","41","Nicolas DUQUE PATIÑO","8","SM expertos - Metzeler","8.016","55.908","","Meta","VILLAVICENCIO RACING CLUB","8"
"7","189","Luis Felipe PALOMINO MEJIA","7","SM expertos - Metzeler","8.138","55.868","","Tolima","CLUB PISTON RACING","8"
"8","272","Alfonso Gustavo LINARES OCHOA","6","SM expertos - Metzeler","8.756","55.812","","Bogotá D.C.","Todo terreno track","8"
"9","155","Juan Felipe HERNANDEZ ALZATE","5","SM expertos - Metzeler","15.008","55.946","","Meta","CLUB LLANEROS RANCING","8"
"10","931","Cesar Augusto VALDIVIESO VARGAS","4","SM expertos - Metzeler","15.457","56.737","","Cundinamarca","CLUB GIRARDOT RACING","8"
"11","59","Carlos Andres Urrea Henao","3","SM expertos - Metzeler","16.992","56.775","","Antioquia","CLUB GRILLOS RACING","8"
"12","375","Wilderman RAMIREZ","2","SM expertos - Metzeler","29.971","58.290","","Antioquia","CLUB GRILLOS RACING","8"
"13","52","Edgar Andres JARAMILLO GOMEZ","1","SM expertos - Metzeler","30.065","57.243","","Antioquia","CLUB MOTOCROSS YARUMAL","8"
"14","721","Juan Andres RODRIGUEZ ARIAS","1","SM expertos - Metzeler","32.507","56.875","","Caldas","CLUB MX PRO","8"
"15","444","David Stevens RESTREPO MEJÍA","1","SM expertos - Metzeler","37.330","58.904","","Antioquia","CLUB LOS PASKINES","8"
"16","119","Cesar Alfonso TELLEZ OCAMPO","0","SM expertos - Metzeler","41.375","56.571","","Santander","CLUB FLORIDA EXTREMO","8"
"17","48","David GIRALDO BETANCUR","0","SM expertos - Metzeler","1:01.122","58.618","","Antioquia","Club Deportivo Terras de San Marinno","8"
"NT","17","Cristian Camilo VASQUEZ POSADA","0","SM expertos - Metzeler","NT","","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER",""
"NT","204","Andres Felipe LONDOÑO TRUJILLO","0","SM expertos - Metzeler","NT","","","Antioquia","CLUB GRILLOS RACING",""
