"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","12","125 cc","1:03.374","3","","",""
"2","710","Juan David MENDOZA DUARTE","13","Meta","VILLAVICENCIO RACING CLUB","Husqvarna","12","125 cc","1:09.338","6","1:14.317","1:14.317",""
"3","722","Alan HERNANDEZ RABE","11","Valle del Cauca","Carasucias","Sherco","11","125 cc","1:09.967","6","1 Vuelta","1 Vuelta",""
"4","228","Jeronimo DAMELINES LOAIZA","10","Risaralda","CLUB LOS GUEPARDOS","Yamaha","11","125 cc","1:07.209","4","1 Vuelta","2.612",""
"5","630","Samuel Andres PINTO DUARTE","9","Meta","VILLAVICENCIO RACING CLUB","Yamaha","11","125 cc","1:08.239","4","1 Vuelta","3.272",""
"6","130","Santiago GUTIERREZ CASTILLO","8","Bogotá D.C.","Todo terreno track","GasGas","11","125 cc","1:09.306","6","1 Vuelta","3.599",""
"7","244","Alejandro ANGEL ISAZA","7","Valle del Cauca","Carasucias","Yamaha","11","125 cc","1:10.605","3","1 Vuelta","23.224",""
"8","411","Juan Sebastian GIRON CARVAJAL","6","Risaralda","CLUB LOS GUEPARDOS","Husqvarna","11","125 cc","1:13.110","1","1 Vuelta","2.595",""
"9","715","Joan esteban Valdez Osorio","5","Quindío","CLUB RUTEROS DEL QUINDIO","KTM","11","125 cc","1:11.724","9","1 Vuelta","1.776",""
"10","113","Tomas VERGARA ARANZAZU","4","Antioquia","CLUB MOTOCROSS DE YARUMAL","Yamaha","11","125 cc","1:09.665","6","1 Vuelta","23.656",""
"11","199","Nicolas Felipe REY REY","3","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","10","125 cc","1:09.695","2","2 Vueltas","1 Vuelta",""
"12","146","Gabriel Alejandro MESA ARROYO","2","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","10","125 cc","1:16.825","5","2 Vueltas","4.809",""
"13","612","Alejandro DIAZ GARCIA","1","Valle del Cauca","Carasucias","Yamaha","10","125 cc","1:17.140","4","2 Vueltas","4.819",""
"NT","926","Santiago LEON","0","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","","125 cc","","0","NT","",""
