"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","428","DANIEL QUINTANA CASTRO","150 cc Inicio","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","49.655","5","","",""
"2","39-E","Julian David CONCHA VALENCIA","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.004","6","0.349","0.349",""
"3","729","Oscar Javier IBARRA ROJAS","150 cc Inicio","Huila","CLUB MOTO JAPONESA","Yamaha","50.115","2","0.460","0.111",""
"4","696-E","Jhon Deiby Escobar","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.458","9","0.803","0.343",""
"5","803-E","Marco Gutiérrez Chávez","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.774","5","1.119","0.316",""
"6","77","David Estevan Calvache González","150 cc Inicio","Nariño","CLUB JOSMARC MOTOS RACING","Yamaha","50.928","3","1.273","0.154",""
"7","825-E","Luis Miguel Dorado","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.965","9","1.310","0.037",""
"8","963","Jhojan CHAUX CIFUENTES","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","52.858","1","3.203","1.893",""
"9","222-E","Juan Carlos Albán","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","53.307","2","3.652","0.449",""
"10","724","David Andres RAMIREZ","150 cc Inicio","Quindío","CLUB MONSTER GARAGE","Yamaha","53.315","5","3.660","0.008",""
"11","114","GIOVANY ANDRES ARTEAGA MONCAYO","150 cc Inicio","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","Yamaha","53.496","3","3.841","0.181",""
"12","206-E","Juan Sebastián Satizabal","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","54.059","1","4.404","0.563",""
"13","732","FREDDY SANTIAGO MAYA OTAYA","150 cc Inicio","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","54.169","5","4.514","0.110",""
"14","430","JOLMAN JHAN CARLOS RUIZ ENRIQUEZ","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","54.270","4","4.615","0.101",""
"15","388","Daniel Esteban López Vallejos","150 cc Inicio","Nariño","MOTOCLUB PROVIDENCIA","Yamaha","54.540","3","4.885","0.270",""
"16","914","Santiago Andres Guerra Ramos","150 cc Inicio","Nariño","CLUB JOSMARC MOTOS RACING","Yamaha","54.789","1","5.134","0.249",""
"17","515-E","David LOPERA ARROYAVE","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","56.887","2","7.232","2.098",""
"18","258","EDWIN ALEXIS SANCHEZ MORA","150 cc Inicio","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","","0","","",""
