"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","898","Cristian Camilo CADAVID BETANCUR","15","Street race 250 cc","","1:06.462","Unite Motor","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"2","17","Cristian Camilo VASQUEZ POSADA","13","Street race 250 cc","0.141","1:05.107","YCF","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"3","370","Cristian David CRUZ ACOSTA","11","Street race 250 cc","0.142","1:06.489","Bajaj","Tolima","CLUB PISTON RACING","8"
"4","931","Cesar Augusto VALDIVIESO VARGAS","10","Street race 250 cc","8.465","1:06.902","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","8"
"5","314","Andres Felipe GONZALEZ CIFUENTES","9","Street race 250 cc","8.466","1:07.111","KTM","Meta","SUTA RACING CLUB","8"
"6","417","Christian David CHAVARRO GALVIS","8","Street race 250 cc","9.728","1:06.868","Bajaj","Tolima","CLUB RADICAL RACING TEAM","8"
"7","175","Edicson Andres LOPEZ LUIS","7","Street race 250 cc","10.088","1:06.738","Bajaj","Tolima","CLUB PISTON RACING","8"
"8","920","Andres Felipe FERNANDEZ BENITEZ","6","Street race 250 cc","12.403","1:07.058","Kawasaki","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8"
"9","250","walter steven rodriguez gerena","5","Street race 250 cc","13.062","1:07.466","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","8"
"10","734","Jefferson Camilo RODRIGUEZ MUÑOZ","4","Street race 250 cc","13.436","1:07.592","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","8"
"11","442","Juan Esteban MUÑOZ MORALES","3","Street race 250 cc","13.582","1:07.621","Bajaj","Bogotá D.C.","Racing pilots Academy","8"
"12","472","Cristian Leonardo RINCON ORTIZ","2","Street race 250 cc","13.588","1:06.705","Bajaj","Bogotá D.C.","Todo terreno track","8"
"13","367","Johon Alexsander FARFAN CRISTANCHO","1","Street race 250 cc","13.643","1:07.686","Bajaj","Tolima","CLUB PISTON RACING","8"
"14","642","Aaron Thomas GOMEZ GIRALDO","1","Street race 250 cc","14.927","1:07.975","Bajaj","Casanare","Club Casanare","8"
"15","701","Aidan Thomas VEGA MEJIA","1","Street race 250 cc","15.043","1:06.909","KTM","Bogotá D.C.","Racing pilots Academy","8"
"16","791","Alonso Herrera Carreño","0","Street race 250 cc","16.748","1:07.675","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","8"
"17","408","David Gerardo BETANCOURTH PABON","0","Street race 250 cc","20.906","1:08.535","Yamaha","Bogotá D.C.","Todo terreno track","8"
"18","526","Henry Wilson TORRES HERNANDEZ","0","Street race 250 cc","21.894","1:07.867","Bajaj","Tolima","CLUB PISTON RACING","8"
"19","233","Cristian Camilo BELLO GONZALEZ","0","Street race 250 cc","23.480","1:08.690","Bajaj","Tolima","CLUB PISTON RACING","8"
"20","985","Juan Carlos SANCHEZ RAMIREZ","0","Street race 250 cc","23.649","1:08.434","Bajaj","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","8"
"21","881","Jefferson Daniel CONTRERAS PINILLA","0","Street race 250 cc","25.879","1:08.407","Bajaj","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","8"
"22","391","Jeiber duban ocampo Mosquera","0","Street race 250 cc","28.480","1:09.409","Bajaj","Bogotá D.C.","Racing pilots Academy","8"
"23","139","Cesar Steven PRIETO USGAME","0","Street race 250 cc","28.679","1:09.331","Bajaj","Cauca","CLUB CORONA CLUB XTREME PARK","8"
"24","404","Anderson Stid HERRERA WALTEROS","0","Street race 250 cc","34.398","1:09.887","Bajaj","Tolima","CLUB PISTON RACING","8"
"25","733","Daniel Santiago Martínez quevedo","0","Street race 250 cc","37.817","1:09.882","Bajaj","Tolima","CLUB PISTON RACING","8"
"26","808","Humberto CULMA MUÑOZ","0","Street race 250 cc","38.745","1:09.868","Bajaj","Tolima","CLUB PISTON RACING","8"
"27","384","Edimberg Estiven VELASQUEZ CHAPARRO","0","Street race 250 cc","41.333","1:10.875","Bajaj","Tolima","CLUB PISTON RACING","8"
"28","275","Julian Andres HERRERA WALTEROS","0","Street race 250 cc","41.727","1:10.734","Bajaj","Tolima","CLUB PISTON RACING","8"
"29","484","Jonattan HERNANDEZ MURCIA","0","Street race 250 cc","56.668","1:12.537","Yamaha","Bogotá D.C.","Xspeed Racing","8"
"30","812","Michael stiven Matiz portela","0","Street race 250 cc","57.453","1:12.492","Bajaj","Tolima","CLUB PISTON RACING","8"
"NT","918","Nicolás David Gaona Ramos","0","Street race 250 cc","NT","1:09.413","Bajaj","Bogotá D.C.","Racing pilots Academy","8"
"NT","321","Nicolas Eduardo GUIO ESCOBAR","0","Street race 250 cc","NT","1:06.283","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","3"
