"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","114","Miguel Angel LOPEZ MARTINEZ","125 cc","1:17.427","0","3","15","15"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 cc","1:17.460","6","1","13","13"
"3","228","Jeronimo DAMELINES LOAIZA","125 cc","1:18.033","10","2","10","11"
"4","777","Euclides Antonio TORRES ROSALES","125 cc","1:20.029","11","1","11","10"
"5","222","Maximiliano RAMIREZ RESTREPO","125 cc","1:19.974","14","1","9","9"
"6","321","Jorge Esteban VARGAS GONZALES","125 cc","1:21.739","16","1","8","8"
"7","247","Martin Estrada Zapata","125 cc","1:24.111","20","1","6","6"
"8","113","Tomas VERGARA ARANZAZU","125 cc","1:24.422","23","1","2","7"
"9","700","Maximiliano GUERRA ALVAREZ","125 cc","1:22.672","24","1","3","5"
"10","630","Samuel Andres PINTO DUARTE","125 cc","1:25.196","25","1","4","3"
"11","710","Juan David MENDOZA DUARTE","125 cc","1:22.644","25","1","5","2"
"12","281","Moises BETANCUR OCHOA","125 cc","1:23.555","25","1","7","0"
"13","244","Alejandro ANGEL ISAZA","125 cc","1:24.189","27","1","1","4"
"14","331","Juan Pablo CARMONA GIRALDO","125 cc","1:26.592","31","1","1","0"
"15","454","Mateo ALVAREZ GONZALEZ","125 cc","1:27.976","32","1","0","0"
"NT","411","Juan Sebastian GIRON CARVAJAL","125 cc","","33","--","0","0"
