"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","200 cc 2T","15","","56.701","Yamaha","Caldas","CLUB JHC RACING","10",""
"2","207","David Alejandro FORERO ZAPATA","200 cc 2T","13","9.356","57.895","Yamaha","Putumayo","TEAM RACING MOCOA","10",""
"3","E-522","Bryan MORALES GARCIA","200 cc 2T","11","11.405","58.350","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10",""
"4","846","Yamid Sebastian LOPEZ VALLEJOS","200 cc 2T","10","12.799","58.960","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10",""
"5","166","Johan Camilo GIRALDO RAMIREZ","200 cc 2T","9","13.142","59.018","Yamaha","Quindío","CLUB MONSTER GARAGE","10",""
"6","981","Cristian David ossa","200 cc 2T","8","34.556","1:00.601","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","10",""
"7","88","Gerardo camilo TORRES","200 cc 2T","7","40.255","1:00.884","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","10",""
"8","343","Juan Pablo BURBANO GOMEZ","200 cc 2T","6","41.423","1:01.650","Yamaha","Putumayo","TEAM RACING MOCOA","10",""
"9","243","David Fernando BURBANO GOMEZ","200 cc 2T","5","2 Vueltas","57.479","Yamaha","Putumayo","TEAM RACING MOCOA","8",""
"NT","988","JUAN CARLOS LOPEZ VIDAL","200 cc 2T","0","NT","59.568","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","7",""
"NT","E-745","Jeronimo HENAO MARIN","200 cc 2T","0","NT","57.829","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","6",""
"NT","227","Rigo German SALAZAR CERON","200 cc 2T","0","NT","59.815","Yamaha","Quindío","CLUB MONSTER GARAGE","4",""
"NT","194","Egdar Andres VELEZ MOLINA","200 cc 2T","0","NT","59.291","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","4",""
"NT","144","JOHN ANDRES VIVAS VARON","200 cc 2T","0","NT","","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","",""
