"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","524","Jhon Edwar BALLESTEROS CARDONA","115 cc Inicio","15","","1:02.684","Yamaha","Quindío","CLUB DISCOVER QUINDIO","10",""
"2","114","GIOVANY ANDRES ARTEAGA MONCAYO","115 cc Inicio","13","3.178","1:02.915","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","10",""
"3","671","JAIRO HERNAN ESCOBAR CRUZ","115 cc Inicio","11","9.149","1:03.283","Yamaha","Quindío","CLUB MONSTER GARAGE","10",""
"4","E-503","Julian Parra ruiz","115 cc Inicio","10","10.816","1:03.252","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","10",""
"5","242","Benjamín Mayoral Toledo","115 cc Inicio","9","13.915","1:03.693","Yamaha","Putumayo","TEAM RACING MOCOA","10",""
"6","407","Sebastián Ríos Osorio","115 cc Inicio","8","16.014","1:02.801","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","10",""
"7","732","FREDDY SANTIAGO MAYA OTAYA","115 cc Inicio","7","19.828","1:04.266","Yamaha","Nariño","CLUB BUFALO XTREM PARK","10",""
"8","95","Gerardo Aníbal Martínez Ochoa","115 cc Inicio","6","20.086","1:04.561","Yamaha","Tolima","CLUB BUNDE ESPINAL","10",""
"9","213","Mario Alejandro GARCIA GARCIA","115 cc Inicio","5","20.276","1:03.656","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","10",""
"10","191","SANTIAGO MARTINEZ ZULUAGA","115 cc Inicio","4","25.037","1:04.349","Yamaha","Caldas","CLUB RACING PERFORMANCE","10",""
"11","164","Andres Felipe millan Franco","115 cc Inicio","3","25.390","1:04.474","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","10",""
"12","77","David Estevan Calvache González","115 cc Inicio","2","26.788","1:04.543","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","10",""
"13","914","Santiago Andres Guerra Ramos","115 cc Inicio","1","36.852","1:05.427","Yamaha","Nariño","CLUB JOSMARC MOTOS RACING","10",""
"14","614","David Alejandro Roman Ramirez","115 cc Inicio","1","38.212","1:06.083","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","10",""
"15","E-206","JUAN SEBASTIAN SATIZABAL ORDOÑEZ","115 cc Inicio","1","41.024","1:04.659","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10",""
"16","627","Carlos Andres HUGUITA CARRILLO","115 cc Inicio","0","43.850","1:06.219","Yamaha","Quindío","CLUB MONSTER GARAGE","10",""
"17","E-39","Julian David CONCHA VALENCIA","115 cc Inicio","0","47.493","1:05.553","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10",""
"18","845","Esteban davila gonzalez","115 cc Inicio","0","57.025","1:03.504","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","10",""
"19","E-802","Juan camilo rivera bedoya","115 cc Inicio","0","1:10.940","1:03.417","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","10",""
"20","239","Esteban DORADO SOLARTE","115 cc Inicio","0","1 Vuelta","1:03.503","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","9",""
"21","428","DANIEL QUINTANA CASTRO","115 cc Inicio","0","1 Vuelta","1:01.875","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","9",""
"NT","453","Alexander MARIN YEPES","115 cc Inicio","0","NT","1:03.578","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","8",""
"NT","430","JOLMAN JHAN CARLOS RUIZ ENRIQUEZ","115 cc Inicio","0","NT","1:04.852","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","5",""
"NT","157","Sebastian Fabricio ROMERO TRUJILLO","115 cc Inicio","0","NT","1:05.905","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","4",""
"NT","E-162","Leonela Fernanda BURITICA RODRIGUEZ","115 cc Inicio","0","NT","1:05.942","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","4",""
"NT","724","David Andres RAMIREZ","115 cc Inicio","0","NT","1:04.845","Yamaha","Quindío","CLUB MONSTER GARAGE","3",""
"NT","388","Daniel Esteban López Vallejos","115 cc Inicio","0","NT","1:08.853","Yamaha","Nariño","MOTOCLUB PROVIDENCIA","1",""
"NT","631","Johan GOMEZ PEREZ","115 cc Inicio","0","NT","1:10.316","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","1",""
"NT","258","EDWIN ALEXIS SANCHEZ MORA","115 cc Inicio","0","NT","","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","",""
"NT","266","Jhon Rene PARDO ARIAS","115 cc Inicio","0","NT","","Yamaha","Quindío","CLUB MONSTER GARAGE","",""
