"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","150 cc","15","","57.215","Yamaha","Caldas","CLUB JHC RACING","10",""
"2","243","David Fernando BURBANO GOMEZ","150 cc","13","1.922","57.445","Yamaha","Putumayo","TEAM RACING MOCOA","10",""
"3","227","Rigo German SALAZAR CERÓN","150 cc","11","2.116","57.565","","Qundío","CLUB MONSTER GARAGE","10",""
"4","166","Johan Camilo GIRALDO RAMIREZ","150 cc","10","9.493","57.856","Yamaha","Quindío","CLUB MONSTER GARAGE","10",""
"5","88","Gerardo camilo TORRES","150 cc","9","21.570","57.767","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","10",""
"6","921","Giomar Nicolas Ruiz Burbano","150 cc","8","23.549","59.760","Yamaha","Nariño","MOTOCLUB CONSACA","10",""
"7","E-522","Bryan MORALES GARCIA","150 cc","7","27.050","58.929","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10",""
"8","846","Yamid Sebastian LOPEZ VALLEJOS","150 cc","6","28.471","59.516","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10",""
"9","988","JUAN CARLOS LOPEZ VIDAL","150 cc","5","29.272","1:00.070","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","10",""
"10","726","Nicolas MILLAN MURILLO","150 cc","4","2 Vueltas","57.495","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","8",""
"11","E-745","Jeronimo HENAO MARIN","150 cc","3","7 Vueltas","59.196","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","3",""
"NT","68","Alvaro Javier PEREZ BERNAL","150 cc","0","NT","1:01.476","Yamaha","Quindío","CLUB DISCOVER QUINDIO","9",""
"NT","194","Egdar Andres VELEZ MOLINA","150 cc","0","NT","58.479","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","7",""
"NT","981","Cristian David ossa","150 cc","0","NT","1:00.689","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","6",""
"NT","746","Juan Sebastián García agudelo","150 cc","0","NT","59.979","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","5",""
"NT","312","Eder Sebastian JARAMILLO YARA","150 cc","0","NT","1:04.906","Yamaha","Tolima","CLUB PISTON RACING","3",""
"NT","207","David Alejandro FORERO ZAPATA","150 cc","0","NT","58.835","Yamaha","Putumayo","TEAM RACING MOCOA","2",""
"NT","235","Juan Sebastián Sánchez Aguirre","150 cc","0","NT","","","Quindío","CLUB RUTEROS DEL QUINDÍO","",""
"NT","144","JOHN ANDRES VIVAS VARON","150 cc","0","NT","","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","",""
