"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","141","William Moncada Sepulveda","15","Super stock 600","","1:00.611","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","9"
"2","897","Octavio VELEZ GAVIRIA","13","Super stock 600","0.257","1:00.895","","Antioquia","Club Deportivo Terras de San Marinno","9"
"3","98","Mateo CASTELLANOS CARVAJAL","11","Super stock 600","11.248","1:02.616","","Caldas","CLUB JHC RACING","9"
"4","484","Jonattan HERNANDEZ MURCIA","10","Super stock 600","16.720","1:02.482","","Bogotá D.C.","Xspeed Racing","9"
"5","71","Christian Restrepo Henao","9","Super stock 600","22.719","1:03.318","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","9"
"6","940","Jhosswa Norvey Restrepo Libreros","8","Super stock 600","37.977","1:06.175","","Cundinamarca","CLUB GIRARDOT RACING","9"
"7","619","Camilo Andres Suarez Cardenas","7","Super stock 600","51.092","1:02.980","","Bogotá D.C.","Todo terreno track","9"
"8","820","Johan Andersson RONDEROS DIAZ","6","Super stock 600","51.166","1:07.919","","Bogotá D.C.","Xspeed Racing","9"
"9","640","Steven Quito Rodriguez","5","Super stock 600","1:00.477","1:09.280","","Bogotá D.C.","Racing pilots Academy","9"
"10","186","Jonathan FARFAN","4","Super stock 600","1 Vuelta","1:10.826","","Tolima","CLUB PISTON RACING","8"
"11","544","EUGENIO ALEJANDRO VALENCIA","3","Super stock 600","1 Vuelta","1:12.390","","Bogotá D.C.","Club BOGOTA","8"
"12","400","Brayan Alejandro Pérez Heredia","2","Super stock 600","1 Vuelta","1:15.552","","Tolima","CLUB PISTON RACING","8"
"NT","639","John Freddy Ricardo Belalcázar","0","Super stock 600","NT","1:05.922","","Valle del Cauca","Carasucias","5"
